"[0.009382974000232358, -0.01713109280955394, 0.16428113295760705]","[0.029650934725501288, -0.007261369304475518, 0.16745652549456458]","[-0.030217158415591694, -0.03550645014891385, 0.16304435656995697]","[0.7947562439341416, 0.30097317517028555, -0.41188871929641635]","[1.7265881261254692, 0.5392058442976864, -0.1381469820837633]"
"[-0.008509549841106412, 0.012997532184419125, 0.3350384796846355]","[-0.005226316794984198, 0.01996768693226275, 0.3136160121482504]","[-0.012121666445300161, 0.003532671915748742, 0.37752050993585184]","[-0.3161746137994934, -0.2572757455248134, -0.6042526151607724]","[0.05867585203521558, 0.0033853334736936302, -1.4939395995315885]"
"[-0.01731578643381415, -0.008662058069832224, 0.3642211129120066]","[-0.008010768851409333, -0.029193231510469153, 0.367410526139096]","[-0.03458688432259893, 0.03143113799901631, 0.36295672877975343]","[0.2787524290700628, -0.8030098675379701, -0.21139018513695967]","[0.4911378488567956, -1.7408675267408422, 0.06304640961039393]"
"[0.011976864155817196, 0.007994134283891619, 0.3394300490743617]","[0.02527156179993914, 0.023181842794759933, 0.3289005991109597]","[-0.012074695872948321, -0.019057422116152523, 0.3638654663421499]","[0.23009118248721785, 0.28422293833448653, -0.6229092824671184]","[0.9894246562873519, 0.8360398508374086, -0.9677436929344687]"
"[-0.03739154907899345, -0.0012898854313294628, 0.332663203756284]","[-0.03857203886242899, -0.0011057038643933481, 0.30992870765865477]","[-0.031333756225035425, 0.001488159202133077, 0.3758249863224157]","[-0.6443321885228012, -0.38802264662480734, -0.39674342405244745]","[-0.47742824330950506, -0.47870726569940425, -1.3785373805094694]"
"[-0.03312241568173835, 0.005355248781976907, 0.35366661877578015]","[-0.03495594544424996, 0.004330280688371879, 0.33099786493247013]","[-0.02593448055875025, 0.01054662676196988, 0.3964303539244966]","[-0.6471600296355312, -0.43786392846819583, -0.33661431435775674]","[-0.5053308029566196, -0.5735309770246947, -1.3171646304535853]"
"[0.0035337173006152467, -0.0058449801203976914, 0.3294649739196595]","[0.020505841357319032, 0.0023948444226813415, 0.33837291007011844]","[-0.0350802031152424, -0.026982692137740516, 0.3454146997262667]","[0.14083594032551122, 0.7568114099205394, 0.1416737249159516]","[0.8390250461124027, 1.4594165822091956, 0.27907075702992834]"
"[0.02169372968347788, 0.016660328369898836, 0.31315159553934646]","[0.01805264073724072, 0.009419160964457995, 0.2939264298482662]","[0.031990904492886496, -0.0030167095221861895, 0.35437069115356623]","[0.4945987566224991, 0.3209776581323236, -0.252104117587284]","[0.5974100830599662, 0.30487797326351795, -1.2466746939182418]"
"[-0.015122590882341413, -0.008961658350853025, 0.31919424485258413]","[-0.01805313589825025, -0.022368824486796945, 0.3034793209879753]","[-0.00762089027264351, -0.013262866463993939, 0.3652100635375339]","[0.4961876578710565, 0.07229910422624997, -0.28720557449546796]","[0.648108339436813, -0.2899198646607547, -1.2068345894199812]"
"[-0.011065116544711151, -0.004865424897033482, 0.35963994063504495]","[-0.011979451571383692, -0.019229023692113933, 0.3445353038942793]","[-0.0022848453796149304, -0.005914399422368044, 0.4056186092024234]","[0.47096840976656773, 0.13312674335754504, -0.2603310779880343]","[0.6669355129548613, -0.2381811262142095, -1.1679253488283003]"
"[0.008331867405680565, 0.033734558700423745, 0.12449212813098998]","[0.028878169741071408, 0.04654722268429695, 0.10872326493470241]","[0.017200932083952264, 0.03369223901281082, 0.16218238619173597]","[-0.08079143505185557, 0.3186855017011687, -0.6317445947436025]","[0.5147814525532594, 0.9657432001617577, -1.1077795413731446]"
"[0.011685404269965727, 0.010567378667607874, 0.3232280537851747]","[0.007181612168691065, 0.003784634895665495, 0.30609687113039397]","[0.010456637938477509, 0.025719260201463534, 0.3653168768560401]","[0.5061643195929014, -0.3384196175554316, -0.3279417414086456]","[0.8600905356110751, -1.1870690252365974, -0.7210453110407009]"
"[-0.00037585320650596055, -0.034494495627326094, 0.32874795114466104]","[-0.013014351549611725, -0.03859851463239494, 0.30354291813847645]","[0.007501761712553012, -0.0355087940889377, 0.35804399283739174]","[0.28981940694744185, -0.7480446789471855, -0.21567313893225484]","[0.27611966043341324, -0.549804537401232, -1.1957308735710324]"
"[-0.0024809060538344974, -0.02746503480673823, 0.32010513789993295]","[-0.014981608992373996, -0.032368570500104554, 0.29497435866506283]","[0.005121981719015289, -0.027409600001582435, 0.34949113288972794]","[0.27800348678099057, -0.7687180856561651, -0.19139647151557687]","[0.2767351712090668, -0.6113641403903387, -1.1789379274985092]"
"[-0.014159004074866144, 0.010920257145217382, 0.29229425350662]","[-0.025282823831021595, 0.003102725683045926, 0.2672539831990529]","[-0.008200278336008782, 0.01443223889159917, 0.3218493418811553]","[0.28840107273802673, -0.7858845997906885, -0.11183554783755989]","[0.3432527923874077, -0.746146602253863, -1.1095390009754493]"
"[-0.010093443104318311, 0.007938935262502334, 0.27257587377089204]","[-0.022031602340633616, 0.0007466925312900052, 0.2477239060470034]","[-0.0031968176746418053, 0.010742974415327011, 0.30200235162938877]","[0.27593143811796933, -0.7805067415270046, -0.15905435979236432]","[0.29973781614153117, -0.717931984542778, -1.1568106707990968]"
"[-0.01786832433765062, -0.01802586718367427, 0.14449538925803418]","[-0.02159260251704151, -0.015155515508985196, 0.126616168387518]","[-0.018259503397349997, -0.021290242299008222, 0.1800139372744326]","[0.22669009914415497, -0.5843310749467993, -0.36519997683698413]","[0.29331243854298716, -0.5320581054517967, -1.361608026058387]"
"[-0.00828591178221455, -0.01017450651109042, 0.1421384615769194]","[-0.012260127524899272, -0.0072374322663179, 0.12432400369176688]","[-0.008080698521382712, -0.013276491738333784, 0.1776731206341145]","[0.2041915958887413, -0.587461845765419, -0.3696157897243016]","[0.2525379995404156, -0.5418353507487094, -1.3674037673059316]"
"[-0.016043013804213524, -0.01609712378145131, 0.28727954738402206]","[-0.023447619078264037, -0.005977374896621812, 0.27369506326153614]","[-0.00873112586424396, -0.03948180276788907, 0.3132038507034586]","[0.45369953542323516, 0.13045514038442602, -0.34372294735544406]","[0.3155651808191188, 0.7981317870046352, -1.0752465598493248]"
"[0.009550534375958208, -0.018803271680704725, 0.2812679828522401]","[0.011474647529123194, -0.026907147250343544, 0.2647634169701514]","[-0.0006077446752942306, -0.007834460194224568, 0.3136542601998221]","[0.7449109694172843, -0.2717894800837133, 0.0927400380059163]","[1.0912138907194366, -0.5531340563295515, -0.8022010305090145]"
"[-0.012591544058879078, 0.0029500606774337523, 0.2869072065469909]","[-0.0014545677825544834, 0.006004566662799693, 0.2554705280233813]","[-0.02371755261262043, 0.007813189213486949, 0.31979132888736356]","[0.29119265479927137, -0.61756352819793, 0.10202971592452133]","[0.38987122828411197, -0.5833550258732796, -0.8925014889673617]"
"[-0.01209477044414603, -0.0015006963827604025, 0.3171281649823159]","[-0.0009967493404340333, 0.0023022389642082253, 0.2857594127865531]","[-0.023076903151608263, 0.0025689810263928026, 0.35016805109855137]","[0.2832655487110266, -0.6203372374025702, 0.11389121617397054]","[0.37993406475087554, -0.5591926430873702, -0.8795455138660878]"
"[-0.011566345849326698, -0.007398096468400173, 0.19689152702360607]","[-0.00047237637352487427, -0.002855427565762847, 0.16561989443907638]","[-0.022438940240324834, -0.004120649069744964, 0.23005549266932734]","[0.2753549837680339, -0.6240340153296745, -0.024327672356674115]","[0.371143813358666, -0.5361234918242472, -1.0158397701056927]"
"[-0.008994238053511405, -0.020293481602974173, 0.3326284146662542]","[0.012416395505462974, -0.016789394427856985, 0.3071150231303699]","[-0.029271691225454283, -0.01633928947257557, 0.3609478928579203]","[0.20640022227859062, -0.6737754551195774, 0.1375177364837884]","[0.6377334520309927, -0.5591714534144365, -0.7573663720490033]"
"[-0.009625300498003364, -0.0020156519603741485, 0.3246113202360228]","[-0.01719092383811216, 0.02189485900859431, 0.3094435125215642]","[-0.007390484946548814, -0.029597081033832434, 0.33782244238678083]","[0.5524027026426847, -0.16954662089833886, -0.4910958416255675]","[0.7299514921551692, 0.5941084723262435, -1.1118271248188711]"
"[-0.02489377809338922, 6.261450123057344e-06, 0.33463735427793134]","[-0.03699933902544461, 0.01296346277864957, 0.3113011182824526]","[-0.017697841387871116, -0.01753762710371576, 0.3587349443671111]","[0.4838013209665727, -0.4917533165052653, -0.3786102110606459]","[0.4991103684091953, -0.10871773517175037, -1.302216932830738]"
"[-0.019250422721818483, 0.011557615349252481, 0.299505317708855]","[-0.03115906370176752, 0.023804706353157457, 0.2756892178153566]","[-0.012480134782739682, -0.00493680492878612, 0.3244524754563596]","[0.44439136982297767, -0.549042899851496, -0.393375354804383]","[0.45935853881486777, -0.22186357686562985, -1.3382190849856646]"
"[-0.030873094495489917, -0.0070679130459383455, 0.3115313385356589]","[-0.036270900030749176, 0.01035807685412199, 0.2885920239515029]","[-0.030858243142923292, -0.028467558224776368, 0.3334930858346022]","[0.5703365218585535, -0.4603185299093596, -0.35362364437903465]","[0.8240735233866395, 0.037923909697083036, -1.1827026547456927]"
"[-0.024809962706227262, 0.0007611912528572295, 0.3423965543240918]","[-0.030147555701546258, 0.017659337709604928, 0.31905182623557093]","[-0.025062756335549885, -0.019881146753040868, 0.36507018120195833]","[0.5325509907255699, -0.5020950069693784, -0.32528951508201087]","[0.781649006698329, -0.04397313254409724, -1.1785623475403644]"
