0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
1,0.527451494,7.349959276,0.881694741,0.29,0.028260333,83.38999939,3.376097171,259.6879883,582.8150515,278.8651639,244.2474365,0.84,-7.452392578,418.1422811,0.069413712,-0.215748369,0.54,0.124653747,0.68500221,0.913638177,0.465254437,0.48,1336876.453,2.673126173,6.759742424,0.105752002,3.015496993,0,180.5439055,424.1344127,-0.533715511,110.1109496,0
2,1.261891102,5.009141024,0.932850812,0.31,0.037940312,34.97000122,3.706506353,259.9771423,410.8819796,640.1962682,230.8752877,0.86,-5.287322998,338.2554344,0.18171354,0.048719636,0.46,0.117710109,0.825150731,0.411630911,0.71420844,0.65,833982.2404,-9.014169693,6.672935607,0.002890147,-8.238448143,0,289.6115992,1031.067128,0.619667279,307.1969386,0
3,0.546254826,6.719979937,0.933696903,0.29,0.125963522,67.25,3.586186657,259.776001,495.3356956,335.3661291,221.3527134,0.86,-2.540893554,272.9817257,0.106785831,0.02807198,0.44,0.103704879,0.846675902,0.884255729,0.602241643,0.37,832986.7033,-9.397480869,6.801960418,0.207660277,-9.239224434,6,189.7415513,1016.585164,0.674542315,76.26265661,0
4,0.512304212,0.503480627,0.927585492,0.28,0.133953636,126.4300003,3.073208619,259.4240112,701.4434902,72.09358411,229.3178013,0.81,-1.359100342,299.6295118,0.414785428,-0.065890656,0.53,0.094382601,-0.180789092,-0.907154979,0.590484874,0.9,832190.7757,-2.206496191,6.815983689,0.026149387,-2.684857797,0,278.0076748,1038.700803,-0.621199557,55.35435211,0
5,0.314504922,0.868267591,0.034135236,0.25,0.119680357,102.2200012,3.48120992,259.6000061,939.1535758,105.9803555,248.3193534,0.85,-2.553100586,474.7064018,0.528162851,-0.323615208,0.51,0.071330069,-0.184283788,0.143433613,0.357587244,0.59,1453855.414,-4.769249916,6.62809496,0.201557621,-4.194162535,0,192.0771004,207.8025591,-0.082456448,156.813438,0
6,0.637112696,2.067423811,0.889036021,0.3,0.069731675,104.9100037,3.628434089,259.6000061,686.0265683,480.1358872,219.8856899,0.84,-1.469268799,282.5659943,0.675324209,-0.016288255,0.48,0.091458178,-0.035620303,-0.857793215,0.64229535,0.69,832191.5181,-1.371159315,6.731462439,0.729427686,-1.643140614,0,182.9781179,1038.215731,-0.893324518,79.06844796,0
7,0.542627852,3.962572131,0.960536704,0.27,0.065797023,56.49000168,3.603092519,259.8137207,688.0618386,571.6443336,220.9385463,0.85,-4.548950195,271.8974623,0.761518496,-0.068934517,0.47,0.087937514,0.019557228,-0.842729062,1.000954501,0.52,829804.9167,-7.206546783,6.758371277,1.008289635,-7.863516188,4,230.1780147,1033.027299,0.312778548,112.2797963,0
8,0.450922103,0.491945293,0.247072551,0.24,0.118140468,86.08000183,3.3671984,259.725708,756.6003636,59.26062738,243.0986677,0.87,-6.088256836,440.9224646,0.318096551,-0.286914781,0.52,0.068128112,-0.219860024,-0.879483032,0.447158822,0.65,1453853.335,-5.59213686,6.699825083,0.535809603,-5.106832027,0,148.1155199,223.8593608,-0.624407785,106.7695952,0
9,0.458934306,0.761001734,0.019139264,0.23,0.113864509,91.45999908,3.256957673,259.6754194,763.9514339,11.728471,243.5259138,0.82,-6.496276855,417.1653238,0.793140877,-0.346221036,0.56,0.070150297,-0.149379523,-0.904090718,0.430572871,0.59,1453174.394,-5.866751862,6.715066352,0.507711271,-5.931155825,2,201.2068718,233.4557708,-0.399735944,111.7689245,0
10,0.392641586,7.643467315,0.971631142,0.25,0.108770519,118.3600006,3.253165877,259.5119934,1063.279423,934.7823074,207.0606777,0.81,-0.191192627,319.0707472,0.035347472,-0.109944335,0.46,0.080046553,-0.124438416,-0.659905558,0.836041912,0.38,830603.9417,-8.178592682,6.656351508,0.021091368,-8.183381081,0,158.1540744,1045.708683,1.116799262,129.9971159,0
11,0.56675876,7.998619055,0.942099519,0.24,0.132948996,115.6700058,3.610600431,259.4240112,743.3467952,132.5400596,234.4970703,0.81,-0.506286621,386.7281665,0.043994513,0.034869604,0.49,0.101354456,0.232740045,-0.899519613,0.593068298,0.4,832193.8203,-8.310274124,6.786669461,0.087911684,-8.513781548,2,126.6172046,1022.041119,0.620624832,494.9288727,0
12,0.85608591,6.272619955,0.538241935,0.23,0.043158618,26.90000153,3.542229435,260.0399954,624.6910199,365.78268,221.4333671,0.88,-3.852691651,339.4590699,0.391199584,0.063467876,0.43,0.108112226,-0.211453708,-0.920161649,0.5612917,0.63,833587.1487,-8.449137688,6.827596784,0.169878465,-8.485290432,8,194.3039306,1017.120736,1.066616824,143.3370567,0
13,0.712318082,5.316691731,-0.056949961,0.26,0.045028243,32.27999878,3.635326704,259.9520089,584.4023067,223.3859906,213.9260428,0.89,-2.304382324,195.9102903,0.377188909,-0.126083177,0.4,0.093265999,0.135167409,0.747960016,0.662730156,0.39,833785.1665,-8.265262699,6.762991095,1.036277455,-7.794084263,2,161.9047372,1013.946846,1.163486154,11.77795664,0
14,0.393818231,7.474789702,-0.232141516,0.22,0.064638062,78.01000214,3.470808598,259.776001,951.69398,894.1651532,249.9923706,0.85,-3.865966797,521.6134689,0.064209091,-0.198969246,0.42,0.097452588,0.884902534,-0.136470151,0.418848251,0.9,1453851.581,-9.516951561,6.630633186,0.848037113,-9.422380543,5,189.2303427,247.1677227,0.630249622,198.5974732,0
15,0.438301374,6.872452103,-0.041300068,0.22,0.094884201,59.18000031,3.483424175,259.8137207,1082.783792,220.5461902,247.0245361,0.85,6.504974365,378.5025286,0.147333389,-0.318016414,0.4,0.101645878,0.928288253,0.86724775,0.440172377,0.49,1453849.908,-9.758766174,6.672043168,1.175940658,-9.742724895,2,243.7957723,352.7288627,1.600499856,112.9896415,0
16,0.511062262,6.902499809,0.162292117,0.24,0.084804962,48.42000198,3.476345049,259.9017203,880.617604,110.9023639,239.8038592,0.85,-11.52984619,442.3170353,0.39106652,-0.177560523,0.45,0.104608689,0.890354046,0.897374707,0.415370488,0.56,1455206.614,-9.115922832,6.696120537,0.464928958,-8.65647583,2,208.5972155,248.7129019,0.355443149,80.49183557,0
17,0.507374853,6.730771443,0.961587424,0.27,0.097997149,75.31999969,3.815974939,259.776001,60.32159782,665.1678586,219.9183873,0.82,-4.109802246,326.6642383,0.28485884,0.018050372,0.45,0.105497718,-0.15521123,-0.838026967,0.763284862,0.38,835380.4849,-7.810604239,6.832054796,1.594485689,-8.046193457,0,161.8844694,1014.663124,0.141832595,71.66028019,0
18,0.566802759,6.463339359,0.924661084,0.27,0.131712878,83.38999939,3.727118478,259.7131348,499.5251384,734.3548381,217.7080427,0.83,-0.577392578,391.0317305,0.021087181,-0.069805251,0.46,0.111633668,0.01893095,-0.884356353,0.567492788,0.68,833783.0323,-8.715851498,6.775093683,1.292900868,-9.469067574,2,173.9118714,994.8336665,0.683592482,179.5557826,0
19,0.345345898,7.502962846,0.060376758,0.21,0.089120646,67.25,3.332920324,259.776001,908.6744129,403.7995615,246.2005615,0.82,-5.723724366,450.5262632,0.203847933,-0.293111335,0.46,0.118427733,0.876526543,0.85494155,0.415653802,0.4,1455210.988,-9.076418877,6.579884263,1.44436257,-9.107064152,7,270.8995475,198.2669246,0.591080511,78.27223334,0
20,0.365472455,7.127682881,0.316931948,0.21,0.122734779,64.55999756,3.269956125,259.8011475,790.9774643,172.029393,245.3210013,0.87,-3.195800781,455.6127311,0.246167428,-0.227656082,0.39,0.107638923,0.905708339,0.793943781,0.48260901,0.37,1453857.181,-9.950302124,6.568680281,0.03963494,-9.914867973,4,281.1494854,223.3538865,0.502973895,173.6067426,0
21,0.429578245,8.020996727,0.855964013,0.23,0.019568557,75.31999969,3.42375862,259.6879883,1017.22411,549.8088615,214.4840786,0.85,-2.171783447,308.6381061,0.445561269,-0.096887227,0.43,0.081515311,-0.451785233,0.759999819,1.078766772,0.53,801677.8805,-5.753266811,6.764659393,5.988165639,-5.95102768,4,137.5242908,785.835407,0.036296042,226.7865841,0
22,0.654318943,6.151593186,0.326322036,0.24,0.038816438,34.97000122,3.360421399,260.0902797,327.8358506,319.6503337,215.4519217,0.87,-8.423767089,257.6319312,0.303902122,0.009549245,0.4,0.098608142,-0.147476224,-0.892819027,0.732021075,0.98,834579.3799,-7.711723328,6.801300518,0.319532167,-7.753861714,11,153.9401889,982.9817104,1.206916985,113.1796706,0
23,0.609819238,6.131994167,0.875010764,0.31,0.102313582,59.18000031,3.065856141,259.8514405,888.8548199,270.3116177,225.1848493,0.84,-3.890991211,250.0632552,0.151472239,-0.113723772,0.45,0.08663915,0.845022211,0.892643415,0.536044845,0.51,833782.4119,-9.782708168,6.730467551,1.182186902,-9.837774277,0,155.7770345,986.6043238,0.738084476,213.2120321,0
24,0.4347486,7.622026422,0.139227835,0.21,0.096023877,72.63000488,3.433239526,259.776001,401.1729747,709.9851799,245.3580584,0.82,-0.834350586,427.8461451,0.111155138,-0.153364353,0.49,0.092719452,0.931887599,0.443030379,0.563293174,0.37,1451144.441,-9.569623947,6.693114888,0.529742667,-9.376412201,7,136.6207428,246.2344689,0.43306321,343.3476034,0
