real,proxy,dtw
12,12-6,8823.660721683524
12,12-7,9255.375064838947
13,13-0,5236.75314789542
13,13-0,5236.75314789542
13,13-0,5236.75314789542
13,13-0,5236.75314789542
13,13-1,3529.9980936149323
13,13-2,659.7892644883505
13,13-2,659.7892644883505
13,13-4,3416.818117006172
13,13-5,1878.383082949385
13,13-6,4585.459137095417
13,13-7,4931.968916712274
13,13-7,4931.968916712274
14,14-2,907.1104341916479
14,14-2,907.1104341916479
14,14-4,387.0602460103699
15,15-10,527.744093268899
15,15-10,527.744093268899
15,15-12,494.8780004449893
15,15-1,451.20557628741915
15,15-2,794.1875588643672
15,15-2,794.1875588643672
15,15-2,794.1875588643672
15,15-2,794.1875588643672
15,15-7,3754.3625072508253
15,15-8,6094.362878720583
17,17-2,8303.666679394213
17,17-2,8303.666679394213
17,17-2,8303.666679394213
17,17-9,709.3367001511932
18,18-0,21.121892983513465
18,18-0,21.121892983513465
18,18-4,609.2029881649821
18,18-4,609.2029881649821
19,19-5,3041.1709204520575
19,19-6,820.5068515168645
19,19-8,6909.517618705804
19,19-9,1352.0359455505036
1,1-1,1293.422079658582
26,26-0,3113.386421724212
26,26-0,3113.386421724212
26,26-0,3113.386421724212
26,26-0,3113.386421724212
26,26-0,3113.386421724212
26,26-0,3113.386421724212
26,26-4,4499.441608874349
26,26-4,4499.441608874349
26,26-4,4499.441608874349
27,27-0,4864.810047336931
27,27-1,4687.437839085437
27,27-2,927.4397404956352
27,27-2,927.4397404956352
27,27-2,927.4397404956352
27,27-7,2153.28683323661
27,27-7,2153.28683323661
28,28-1,2354.279491441915
28,28-1,2354.279491441915
28,28-1,2354.279491441915
28,28-4,4294.99268799686
29,29-3,13671.276381457756
29,29-4,6373.918477937651
29,29-5,4390.825767913033
29,29-6,5813.75614915249
29,29-6,5813.75614915249
29,29-6,5813.75614915249
29,29-6,5813.75614915249
2,2-0,5822.3809653138005
2,2-1,2042.2632608056174
2,2-2,4978.0852887388555
2,2-3,2903.1470217235365
2,2-3,2903.1470217235365
2,2-3,2903.1470217235365
2,2-3,2903.1470217235365
32,32-0,7337.883940054426
32,32-0,7337.883940054426
32,32-1,6428.300448738568
32,32-2,2328.5697193363135
32,32-3,11241.283962684438
32,32-4,2680.721801412399
35,35-0,331.5802201036607
35,35-1,8670.721938576391
35,35-2,514.1963896353507
35,35-3,2926.9357090812628
35,35-4,240.14579574228364
35,35-4,240.14579574228364
35,35-4,240.14579574228364
35,35-8,217.3375624975033
35,35-8,217.3375624975033
39,39-1,3712.653515806877
39,39-1,3712.653515806877
39,39-3,6300.141108828288
44,44-1,1177.9052851692688
44,44-2,678.4529537626642
44,44-3,1443.292367687507
44,44-4,1302.427197130468
44,44-4,1302.427197130468
44,44-4,1302.427197130468
45,45-0,367.1112580077562
45,45-0,367.1112580077562
45,45-1,134.98288744039394
47,47-1,1200.7023322902485
47,47-3,3078.8986880616644
47,47-3,3078.8986880616644
47,47-3,3078.8986880616644
47,47-3,3078.8986880616644
49,49-2,551.496254962102
49,49-3,5263.939883531846
49,49-4,3046.7187628183315
49,49-5,473.46344017422985
49,49-5,473.46344017422985
4,4-0,4712.200383671258
4,4-10,5883.992637497727
4,4-1,4765.92062196174
4,4-2,6284.28900017065
4,4-3,4562.675613662437
4,4-4,2909.7602932882855
4,4-4,2909.7602932882855
4,4-6,4999.699768010512
4,4-7,1711.8852776567528
4,4-8,3384.5524153426422
4,4-9,3067.917012236359
54,54-11,775.6270148041934
54,54-12,3392.27899565411
54,54-5,183.2774543655835
54,54-6,1335.3686108470833
54,54-7,710.7427235607015
54,54-9,848.0515442351001
55,55-11,583.0185385749793
55,55-2,5207.681509574665
55,55-3,208.8954063365716
55,55-4,577.0400100189161
55,55-5,2757.3816287202985
55,55-7,2611.290762643016
55,55-8,764.8027955286863
56,56-12,2689.0300454464623
56,56-12,2689.0300454464623
56,56-12,2689.0300454464623
56,56-12,2689.0300454464623
56,56-12,2689.0300454464623
56,56-12,2689.0300454464623
5,5-3,4785.657606706055
5,5-3,4785.657606706055
5,5-6,2046.1256522958322
5,5-8,1772.3634998789776
68,68-0,9961.083032597162
68,68-0,9961.083032597162
68,68-0,9961.083032597162
68,68-1,4493.3693102303905
68,68-2,6761.558722758891
68,68-2,6761.558722758891
68,68-2,6761.558722758891
68,68-6,3760.1304531076134
68,68-7,3564.5429663170717
69,69-0,453.23431084857737
69,69-11,204.59476909600198
69,69-11,204.59476909600198
69,69-1,1895.3298014405655
69,69-1,1895.3298014405655
69,69-1,1895.3298014405655
69,69-1,1895.3298014405655
69,69-1,1895.3298014405655
69,69-6,290.98738885152295
69,69-6,290.98738885152295
69,69-9,3246.9950123811363
8,8-2,137.18833386282623
8,8-3,42.44919776331774
8,8-4,4900.659319607663
8,8-4,4900.659319607663
8,8-4,4900.659319607663
8,8-4,4900.659319607663
9,9-0,228.11569579437665
9,9-0,228.11569579437665
9,9-1,2661.6508247301217
9,9-1,2661.6508247301217
9,9-3,39.877752597897114
9,9-4,44.34912713840618
9,9-4,44.34912713840618
9,9-4,44.34912713840618
9,9-4,44.34912713840618
9,9-4,44.34912713840618
