# elapsed time, f3_acc_x, f3_acc_y, f3_acc_z, f3_gyro_x, f3_gyro_y, f3_gyro_z
7.867141485214233398e+00,-3.306392431259155718e+00,-9.308655738830566406e+00,-2.023100376129150391e+00,-3.822326660156250000e+00,-1.144409179687500000e-01,4.501342773437500000e-01
7.882289648056030273e+00,-3.306392431259155718e+00,-9.299078941345216620e+00,-1.970427989959716797e+00,-3.623962402343750000e+00,-7.629394531250000000e-02,4.577636718750000000e-01
7.893301725387573242e+00,-3.232172250747680664e+00,-9.299078941345216620e+00,-1.970427989959716797e+00,-3.623962402343750000e+00,-7.629394531250000000e-02,4.577636718750000000e-01
7.908965349197387695e+00,-3.174711465835571733e+00,-9.330204010009765625e+00,-1.999158382415771706e+00,-3.623962402343750000e+00,-2.593994140625000000e-01,5.645751953125000000e-01
7.920784950256347656e+00,-3.174711465835571733e+00,-9.346962928771972656e+00,-2.006340980529785156e+00,-3.486633300781250000e+00,-2.593994140625000000e-01,6.942749023437500000e-01
7.933253526687622070e+00,-3.239354848861694336e+00,-9.346962928771972656e+00,-1.999158382415771706e+00,-3.425598144531250000e+00,-4.501342773437500000e-01,6.942749023437500000e-01
7.948688745498657227e+00,-3.239354848861694336e+00,-9.375693321228027344e+00,-2.006340980529785156e+00,-3.425598144531250000e+00,-2.365112304687500000e-01,8.010864257812500000e-01
7.961303949356079102e+00,-3.294421434402465820e+00,-9.375693321228027344e+00,-2.025494575500488281e+00,-3.456115722656250000e+00,-3.433227539062500000e-01,6.866455078125000000e-01
7.972517967224121094e+00,-3.308786630630493164e+00,-9.375693321228027344e+00,-2.039859771728516069e+00,-3.578186035156250000e+00,-1.602172851562500000e-01,6.866455078125000000e-01
7.986323833465576172e+00,-3.308786630630493164e+00,-9.342174530029296875e+00,-2.068590164184570312e+00,-3.677368164062500000e+00,-1.449584960937500000e-01,6.866455078125000000e-01
7.999551773071289062e+00,-3.308786630630493164e+00,-9.332597732543943536e+00,-2.090137958526611772e+00,-3.677368164062500000e+00,7.629394531250000000e-03,4.653930664062500000e-01
8.013948678970336914e+00,-3.311180830001831055e+00,-9.296685218811035156e+00,-2.068590164184570312e+00,-3.570556640625000000e+00,3.585815429687500000e-01,5.187988281250000000e-01
8.026681423187255859e+00,-3.311180830001831055e+00,-9.260771751403808594e+00,-2.054224967956542969e+00,-3.570556640625000000e+00,8.392333984375000000e-02,5.187988281250000000e-01
8.038958072662353516e+00,-3.296815633773804155e+00,-9.289502143859863281e+00,-2.054224967956542969e+00,-3.730773925781250000e+00,8.392333984375000000e-02,5.187988281250000000e-01
8.052144527435302734e+00,-3.296815633773804155e+00,-9.260771751403808594e+00,-1.929726481437683105e+00,-3.799438476562500000e+00,8.392333984375000000e-02,5.264282226562500000e-01
8.064359188079833984e+00,-3.296815633773804155e+00,-9.275136947631835938e+00,-2.032677173614501953e+00,-3.730773925781250000e+00,-1.907348632812500000e-01,3.585815429687500000e-01
8.077573537826538086e+00,-3.248931646347045898e+00,-9.275136947631835938e+00,-1.999158382415771706e+00,-3.707885742187500000e+00,6.103515625000000000e-02,5.722045898437500000e-01
8.091967344284057617e+00,-3.236960649490356445e+00,-9.282320022583007812e+00,-2.032677173614501953e+00,-3.616333007812500000e+00,-1.754760742187500000e-01,6.332397460937500000e-01
8.104171752929687500e+00,-3.236960649490356445e+00,-9.368511199951171875e+00,-2.006340980529785156e+00,-3.616333007812500000e+00,-1.754760742187500000e-01,6.332397460937500000e-01
8.116869926452636719e+00,-3.251325845718383789e+00,-9.368511199951171875e+00,-2.011129379272460938e+00,-3.669738769531250000e+00,-1.754760742187500000e-01,7.324218750000000000e-01
8.130825996398925781e+00,-3.292027235031127930e+00,-9.330204010009765625e+00,-2.011129379272460938e+00,-3.677368164062500000e+00,-1.296997070312500000e-01,5.493164062500000000e-01
8.143633842468261719e+00,-3.292027235031127930e+00,-9.301473617553712714e+00,-2.011129379272460938e+00,-3.669738769531250000e+00,-1.296997070312500000e-01,7.858276367187500000e-01
8.157112836837768555e+00,-3.256114244461060014e+00,-9.301473617553712714e+00,-1.984793186187743919e+00,-3.501892089843750000e+00,-2.746582031250000000e-01,6.027221679687500000e-01
8.170809984207153320e+00,-3.251325845718383789e+00,-9.339780807495115411e+00,-1.980004787445068359e+00,-3.501892089843750000e+00,-2.746582031250000000e-01,6.027221679687500000e-01
8.182307481765747070e+00,-3.224989652633666992e+00,-9.349357604980468750e+00,-1.984793186187743919e+00,-3.631591796875000000e+00,1.144409179687500000e-01,6.027221679687500000e-01
8.196358203887939453e+00,-3.251325845718383789e+00,-9.339780807495115411e+00,-1.989581584930419922e+00,-3.631591796875000000e+00,1.525878906250000000e-01,6.637573242187500000e-01
8.209601879119873047e+00,-3.296815633773804155e+00,-9.303867340087890625e+00,-2.032677173614501953e+00,-3.631591796875000000e+00,1.144409179687500000e-01,6.637573242187500000e-01
8.220845937728881836e+00,-3.296815633773804155e+00,-9.303867340087890625e+00,-2.032677173614501953e+00,-3.723144531250000000e+00,9.918212890625000000e-02,6.179809570312500000e-01
8.235737800598144531e+00,-3.296815633773804155e+00,-9.303867340087890625e+00,-2.032677173614501953e+00,-3.753662109375000000e+00,9.918212890625000000e-02,4.425048828125000000e-01
8.247345447540283203e+00,-3.287238836288452148e+00,-9.239224433898925781e+00,-2.003946781158447710e+00,-3.723144531250000000e+00,1.373291015625000000e-01,4.425048828125000000e-01
8.259585142135620117e+00,-3.215412855148315430e+00,-9.239224433898925781e+00,-2.003946781158447710e+00,-3.662109375000000000e+00,1.373291015625000000e-01,5.340576171875000000e-01
8.277486324310302734e+00,-3.239354848861694336e+00,-9.301473617553712714e+00,-2.023100376129150391e+00,-3.547668457031250000e+00,-3.433227539062500000e-01,5.340576171875000000e-01
8.288207054138183594e+00,-3.239354848861694336e+00,-9.303867340087890625e+00,-2.023100376129150391e+00,-3.547668457031250000e+00,-3.433227539062500000e-01,5.111694335937500000e-01
8.299095869064331055e+00,-3.239354848861694336e+00,-9.301473617553712714e+00,-2.027888774871826172e+00,-3.707885742187500000e+00,-5.950927734375000000e-01,4.882812500000000000e-01
8.316254377365112305e+00,-3.244143247604370117e+00,-9.284713745117187500e+00,-2.039859771728516069e+00,-3.707885742187500000e+00,-1.220703125000000000e-01,4.882812500000000000e-01
8.326539754867553711e+00,-3.244143247604370117e+00,-9.265560150146484375e+00,-2.039859771728516069e+00,-3.707885742187500000e+00,3.051757812500000000e-02,5.264282226562500000e-01
8.338124990463256836e+00,-3.244143247604370117e+00,-9.284713745117187500e+00,-2.013523578643798828e+00,-3.494262695312500000e+00,3.051757812500000000e-02,5.264282226562500000e-01
