# elapsed time, f2_acc_x, f2_acc_y, f2_acc_z, f2_gyro_x, f2_gyro_y, f2_gyro_z
9.640985488891601562e+00,-2.937685489654541016e+00,-5.415684223175048828e+00,7.721300125122070312e+00,3.204345703125000000e-01,-2.365112304687500000e-01,-8.392333984375000000e-02
9.651188611984252930e+00,-2.959233283996582031e+00,-5.415684223175048828e+00,7.721300125122070312e+00,3.204345703125000000e-01,-2.365112304687500000e-01,-8.392333984375000000e-02
9.669437408447265625e+00,-2.959233283996582031e+00,-5.382165431976318359e+00,7.671021938323974609e+00,2.746582031250000000e-01,-7.629394531250000000e-02,-2.975463867187500000e-01
9.680441856384277344e+00,-2.947262287139892578e+00,-5.374982833862304688e+00,7.671021938323974609e+00,2.746582031250000000e-01,-7.629394531250000000e-02,-2.975463867187500000e-01
9.693493843078613281e+00,-2.894589900970458984e+00,-5.379771232604980469e+00,7.745242595672607422e+00,3.051757812500000000e-01,-4.501342773437500000e-01,-1.220703125000000000e-01
9.708616971969604492e+00,-2.885013103485107422e+00,-5.379771232604980469e+00,7.745242595672607422e+00,3.433227539062500000e-01,-4.501342773437500000e-01,-5.340576171875000000e-02
9.721391201019287109e+00,-2.858676671981811523e+00,-5.413290023803710938e+00,7.752425193786621094e+00,3.433227539062500000e-01,-2.670288085937500000e-01,-1.525878906250000000e-02
9.735628604888916016e+00,-2.858676671981811523e+00,-5.413290023803710938e+00,7.733271598815917969e+00,3.356933593750000000e-01,-2.670288085937500000e-01,2.441406250000000000e-01
9.749887466430664062e+00,-2.966415882110596147e+00,-5.367800235748291016e+00,7.659050941467285156e+00,3.356933593750000000e-01,-2.670288085937500000e-01,2.441406250000000000e-01
9.763762712478637695e+00,-2.966415882110596147e+00,-5.367800235748291016e+00,7.659050941467285156e+00,3.356933593750000000e-01,-1.754760742187500000e-01,2.288818359375000000e-02
9.775107383728027344e+00,-2.887407302856445312e+00,-5.367800235748291016e+00,7.730876922607421875e+00,3.814697265625000000e-01,-1.754760742187500000e-01,2.288818359375000000e-02
9.790133953094482422e+00,-2.887407302856445312e+00,-5.367800235748291016e+00,7.730876922607421875e+00,3.128051757812500000e-01,-4.501342773437500000e-01,2.288818359375000000e-02
9.802225828170776367e+00,-2.882618904113769087e+00,-5.360617637634277344e+00,7.759607791900634766e+00,3.128051757812500000e-01,-4.501342773437500000e-01,2.288818359375000000e-02
9.816608190536499023e+00,-2.899378299713134766e+00,-5.360617637634277344e+00,7.706934928894042969e+00,3.128051757812500000e-01,-3.890991210937500000e-01,-1.296997070312500000e-01
9.829637765884399414e+00,-3.021482467651367188e+00,-5.360617637634277344e+00,7.754819393157958984e+00,1.983642578125000000e-01,-1.449584960937500000e-01,-2.593994140625000000e-01
9.844088792800903320e+00,-3.021482467651367188e+00,-5.377377033233642578e+00,7.754819393157958984e+00,1.983642578125000000e-01,-9.918212890625000000e-02,-3.356933593750000000e-01
9.863724470138549805e+00,-2.947262287139892578e+00,-5.415684223175048828e+00,7.759607791900634766e+00,1.983642578125000000e-01,1.525878906250000000e-02,-3.356933593750000000e-01
9.875558853149414062e+00,-2.882618904113769087e+00,-5.415684223175048828e+00,7.759607791900634766e+00,4.348754882812500000e-01,-7.629394531250000000e-02,-3.814697265625000000e-02
9.885370016098022461e+00,-2.882618904113769087e+00,-5.403713226318359375e+00,7.759607791900634766e+00,4.348754882812500000e-01,1.525878906250000000e-02,-3.814697265625000000e-02
9.898350000381469727e+00,-2.870647907257080078e+00,-5.403713226318359375e+00,7.738059997558593750e+00,3.967285156250000000e-01,2.365112304687500000e-01,-3.356933593750000000e-01
9.913367986679077148e+00,-2.837128877639770508e+00,-5.403713226318359375e+00,7.714117527008056641e+00,3.204345703125000000e-01,2.365112304687500000e-01,-3.356933593750000000e-01
9.928519487380981445e+00,-2.837128877639770508e+00,-5.358223438262940341e+00,7.714117527008056641e+00,2.746582031250000000e-01,3.204345703125000000e-01,-3.509521484375000000e-01
9.940392732620239258e+00,-2.844311475753784180e+00,-5.358223438262940341e+00,7.714117527008056641e+00,2.746582031250000000e-01,-1.525878906250000000e-01,-1.220703125000000000e-01
9.955375909805297852e+00,-2.899378299713134766e+00,-5.370194435119628906e+00,7.685387134552001953e+00,2.517700195312500000e-01,-1.525878906250000000e-01,-1.220703125000000000e-01
9.967918157577514648e+00,-2.899378299713134766e+00,-5.370194435119628906e+00,7.697358131408691406e+00,2.517700195312500000e-01,-1.525878906250000000e-01,7.629394531250000000e-03
