# elapsed time, force_x, force_y, force_z, torque_x, torque_y, torque_z
1.732376360893249512e+01,3.725520608005071788e-01,1.322668058405772618e+00,-3.462296603610706125e+00,-8.387526218288220148e-02,-1.164323767774313040e-01,2.069096744794050868e-01
1.732539224624633789e+01,4.024735529866422246e-01,1.330535004834662249e+00,-3.465178088280634228e+00,-8.387526218288220148e-02,-1.168229339945190959e-01,2.072660219197786091e-01
1.732789087295532227e+01,4.024735529866422246e-01,1.330535004834662249e+00,-3.467181656928628009e+00,-8.387526218288220148e-02,-1.168229339945190959e-01,2.072704014871077915e-01
1.732940864562988281e+01,4.024735529866422246e-01,1.341507290212160308e+00,-3.467181656928628009e+00,-8.346377287804590539e-02,-1.168229339945190959e-01,2.072704014871077915e-01
1.733169007301330566e+01,3.574580773700634095e-01,1.341507290212160308e+00,-3.467181656928628009e+00,-8.346377287804590539e-02,-1.168229339945190959e-01,2.072704014871077915e-01
1.733340430259704590e+01,3.574580773700634095e-01,1.341507290212160308e+00,-3.467181656928628009e+00,-8.387526218288220148e-02,-1.168229339945190959e-01,2.072660219197786091e-01
1.733569645881652832e+01,4.126475512088301212e-01,1.344651162299924430e+00,-3.467181656928628009e+00,-8.346377287804590539e-02,-1.172085668103224065e-01,2.072704014871077915e-01
1.733740282058715820e+01,4.126475512088301212e-01,1.341507290212160308e+00,-3.465178088280634228e+00,-8.387526218288220148e-02,-1.172085668103224065e-01,2.069673860488449868e-01
1.733969020843505859e+01,4.266331431604616919e-01,1.341507290212160308e+00,-3.465178088280634228e+00,-8.444135608747860289e-02,-1.172235061457029964e-01,2.072704014871077915e-01
1.734141016006469727e+01,4.336612226470706877e-01,1.341507290212160308e+00,-3.462296603610706125e+00,-8.499356435997509895e-02,-1.179659514292738937e-01,2.072704014871077915e-01
1.734370946884155273e+01,4.336612226470706877e-01,1.341507290212160308e+00,-3.462296603610706125e+00,-8.499356435997509895e-02,-1.179659514292738937e-01,2.072704014871077915e-01
1.734589052200317383e+01,4.336612226470706877e-01,1.341507290212160308e+00,-3.462296603610706125e+00,-8.499356435997509895e-02,-1.179659514292738937e-01,2.072704014871077915e-01
1.734766054153442383e+01,4.336612226470706877e-01,1.345658128743298931e+00,-3.459060242345056047e+00,-8.499356435997509895e-02,-1.179659514292738937e-01,2.074554283213103922e-01
1.734987044334411621e+01,4.336612226470706877e-01,1.360464025397685628e+00,-3.440460607783004221e+00,-8.444135608747860289e-02,-1.179697410517842049e-01,2.074554283213103922e-01
1.735215950012207031e+01,4.126475512088301212e-01,1.361497442964550109e+00,-3.423180379928359773e+00,-8.413876812534229477e-02,-1.179659514292738937e-01,2.079197462448831024e-01
1.735388064384460449e+01,3.694115609680225232e-01,1.361497442964550109e+00,-3.423180379928359773e+00,-8.413876812534229477e-02,-1.172085668103224065e-01,2.074554283213103922e-01
1.735559844970703125e+01,3.574580773700634095e-01,1.371968688796431524e+00,-3.415916363563358704e+00,-8.413876812534229477e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.735784363746643066e+01,3.574580773700634095e-01,1.389038620871071217e+00,-3.415916363563358704e+00,-8.413876812534229477e-02,-1.170433139620909030e-01,2.079197462448831024e-01
1.735956931114196777e+01,3.517856885359632035e-01,1.389038620871071217e+00,-3.415916363563358704e+00,-8.374703932891160163e-02,-1.168229339945190959e-01,2.079197462448831024e-01
1.736174845695495605e+01,3.574580773700634095e-01,1.389038620871071217e+00,-3.415916363563358704e+00,-8.345902024401059827e-02,-1.168229339945190959e-01,2.081583736752321001e-01
1.736348628997802734e+01,3.574580773700634095e-01,1.395689989846640167e+00,-3.415916363563358704e+00,-8.345902024401059827e-02,-1.168229339945190959e-01,2.081583736752321001e-01
1.736575341224670410e+01,3.694115609680225232e-01,1.395689989846640167e+00,-3.423180379928359773e+00,-8.345902024401059827e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.736748647689819336e+01,3.517856885359632035e-01,1.403203265985103254e+00,-3.423180379928359773e+00,-8.339190055117880196e-02,-1.157595909540049955e-01,2.081583736752321001e-01
1.736965036392211914e+01,3.694115609680225232e-01,1.403203265985103254e+00,-3.423180379928359773e+00,-8.339190055117880196e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.737133860588073730e+01,3.694115609680225232e-01,1.403203265985103254e+00,-3.423180379928359773e+00,-8.339190055117880196e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.737355804443359375e+01,3.694115609680225232e-01,1.403203265985103254e+00,-3.424243003049880496e+00,-8.339190055117880196e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.737576913833618164e+01,3.694115609680225232e-01,1.395689989846640167e+00,-3.424243003049880496e+00,-8.339190055117880196e-02,-1.170433139620909030e-01,2.074554283213103922e-01
1.737753081321716309e+01,3.694115609680225232e-01,1.403203265985103254e+00,-3.423180379928359773e+00,-8.339190055117880196e-02,-1.161780576225961009e-01,2.074236598297289902e-01
1.737976741790771484e+01,3.694115609680225232e-01,1.408512785523374555e+00,-3.424243003049880496e+00,-8.308964612586579312e-02,-1.161780576225961009e-01,2.074236598297289902e-01
1.738148975372314453e+01,3.568909022503835016e-01,1.411885381048679111e+00,-3.439404662051038120e+00,-8.270063210984779367e-02,-1.161780576225961009e-01,2.074236598297289902e-01
1.738371086120605469e+01,3.547192002787064036e-01,1.413858879229119125e+00,-3.439404662051038120e+00,-8.267535837100080387e-02,-1.154324087768078960e-01,2.074236598297289902e-01
1.738594126701354980e+01,3.547192002787064036e-01,1.411885381048679111e+00,-3.424243003049880496e+00,-8.270063210984779367e-02,-1.154324087768078960e-01,2.074236598297289902e-01
1.738774919509887695e+01,3.547192002787064036e-01,1.411885381048679111e+00,-3.439404662051038120e+00,-8.270063210984779367e-02,-1.161780576225961009e-01,2.069189836676627037e-01
1.738996791839599609e+01,3.547192002787064036e-01,1.411885381048679111e+00,-3.439404662051038120e+00,-8.267535837100080387e-02,-1.161780576225961009e-01,2.067402794376959896e-01
1.739167904853820801e+01,3.496101434389348173e-01,1.404420066306478310e+00,-3.439404662051038120e+00,-8.267535837100080387e-02,-1.153889276928118934e-01,2.067217922287055976e-01
1.739391064643859863e+01,3.547192002787064036e-01,1.404420066306478310e+00,-3.439404662051038120e+00,-8.267535837100080387e-02,-1.161780576225961009e-01,2.066899938568552975e-01
1.739557719230651855e+01,3.568909022503835016e-01,1.404420066306478310e+00,-3.439404662051038120e+00,-8.267535837100080387e-02,-1.168491879785620996e-01,2.067217922287055976e-01
1.739783787727355957e+01,3.679860653460413911e-01,1.403203265985103254e+00,-3.442191977919309753e+00,-8.267535837100080387e-02,-1.168491879785620996e-01,2.067217922287055976e-01
1.739974975585937500e+01,3.679860653460413911e-01,1.393152310885616307e+00,-3.442191977919309753e+00,-8.293767273339179569e-02,-1.168491879785620996e-01,2.067217922287055976e-01
1.740179109573364258e+01,3.679860653460413911e-01,1.403203265985103254e+00,-3.455603718323953188e+00,-8.267535837100080387e-02,-1.172902903379151041e-01,2.066899938568552975e-01
1.740351295471191406e+01,3.679860653460413911e-01,1.403203265985103254e+00,-3.467101003643488166e+00,-8.267535837100080387e-02,-1.172902903379151041e-01,2.065414638330337893e-01
1.740598845481872559e+01,3.679860653460413911e-01,1.404420066306478310e+00,-3.467101003643488166e+00,-8.261658437713699510e-02,-1.172902903379151041e-01,2.066899938568552975e-01
1.740774798393249512e+01,3.575773226791639781e-01,1.393152310885616307e+00,-3.455603718323953188e+00,-8.261658437713699510e-02,-1.168491879785620996e-01,2.067217922287055976e-01
1.740941786766052246e+01,3.679860653460413911e-01,1.381482136967416396e+00,-3.455603718323953188e+00,-8.293767273339179569e-02,-1.171730600317496956e-01,2.066899938568552975e-01
1.741178441047668457e+01,3.679860653460413911e-01,1.369405755003265224e+00,-3.442191977919309753e+00,-8.293767273339179569e-02,-1.168491879785620996e-01,2.066899938568552975e-01
1.741347122192382812e+01,3.679860653460413911e-01,1.362856999558978988e+00,-3.442191977919309753e+00,-8.396101899196610485e-02,-1.163925457016782017e-01,2.066899938568552975e-01
1.741570758819580078e+01,3.710274505054240168e-01,1.362856999558978988e+00,-3.442191977919309753e+00,-8.396101899196610485e-02,-1.168491879785620996e-01,2.066899938568552975e-01
1.741860651969909668e+01,3.710274505054240168e-01,1.355754740221077004e+00,-3.467101003643488166e+00,-8.293767273339179569e-02,-1.168491879785620996e-01,2.067217922287055976e-01
1.741948628425598145e+01,3.679860653460413911e-01,1.355754740221077004e+00,-3.467829107002190714e+00,-8.293767273339179569e-02,-1.168491879785620996e-01,2.068081261040931040e-01
1.742175555229187012e+01,3.729455354513200871e-01,1.350475306627904493e+00,-3.467829107002190714e+00,-8.303836839702399830e-02,-1.171730600317496956e-01,2.068081261040931040e-01
1.742350578308105469e+01,3.730804201678000753e-01,1.350475306627904493e+00,-3.467829107002190714e+00,-8.303836839702399830e-02,-1.172902903379151041e-01,2.068081261040931040e-01
1.742568445205688477e+01,3.833158266525583113e-01,1.350475306627904493e+00,-3.467829107002190714e+00,-8.303836839702399830e-02,-1.173748433258175045e-01,2.070623323143080952e-01
1.742750287055969238e+01,3.876225534676592810e-01,1.347766095510422701e+00,-3.468358940667046308e+00,-8.303836839702399830e-02,-1.173748433258175045e-01,2.068081261040931040e-01
1.742971682548522949e+01,3.882071222028781188e-01,1.347766095510422701e+00,-3.467829107002190714e+00,-8.300177558298030278e-02,-1.173748433258175045e-01,2.070623323143080952e-01
1.743147706985473633e+01,3.833158266525583113e-01,1.347766095510422701e+00,-3.468358940667046308e+00,-8.300177558298030278e-02,-1.172902903379151041e-01,2.070623323143080952e-01
1.743374466896057129e+01,3.833158266525583113e-01,1.337683992734923111e+00,-3.477137358233673314e+00,-8.303836839702399830e-02,-1.172902903379151041e-01,2.070623323143080952e-01
1.743548679351806641e+01,3.730804201678000753e-01,1.337683992734923111e+00,-3.477137358233673314e+00,-8.300177558298030278e-02,-1.171730600317496956e-01,2.073071195542154910e-01
1.743772840499877930e+01,3.730804201678000753e-01,1.347766095510422701e+00,-3.477234603887112030e+00,-8.293767273339179569e-02,-1.168525812335589054e-01,2.070623323143080952e-01
1.743949127197265625e+01,3.833158266525583113e-01,1.347766095510422701e+00,-3.478433973526025014e+00,-8.228062355064559574e-02,-1.171730600317496956e-01,2.070256623497641058e-01
