# elapsed time, force_x, force_y, force_z, torque_x, torque_y, torque_z
4.115170478820800781e+01,-1.450639023085500634e+00,-4.496802475488766992e-01,-7.626971970319019745e-01,5.695745634578747163e-02,-1.461822408848240384e-01,1.447664829487251281e-01
4.115345525741577148e+01,-1.446547571742987426e+00,-4.489760444623518976e-01,-7.640685849329065249e-01,5.696385623509604701e-02,-1.464009602803224008e-01,1.447664829487251281e-01
4.115576744079589844e+01,-1.446547571742987426e+00,-4.489760444623518976e-01,-7.640685849329065249e-01,5.696385623509604701e-02,-1.464009602803224008e-01,1.447664829487251281e-01
4.115744280815124512e+01,-1.446547571742987426e+00,-4.376657041724916208e-01,-7.806629908647517713e-01,5.696385623509604701e-02,-1.464009602803224008e-01,1.443860369764137785e-01
4.115973901748657227e+01,-1.445954698548586714e+00,-4.376657041724916208e-01,-7.835499728161656741e-01,5.696385623509604701e-02,-1.464816958186887508e-01,1.447664829487251281e-01
4.116151475906372070e+01,-1.445954698548586714e+00,-4.489760444623518976e-01,-7.835499728161656741e-01,5.696385623509604701e-02,-1.467945820156397463e-01,1.448000361084780530e-01
4.116379237174987793e+01,-1.440659718913156473e+00,-4.489760444623518976e-01,-7.868995368122231326e-01,5.793903806447442406e-02,-1.470853113581225002e-01,1.448000361084780530e-01
4.116562986373901367e+01,-1.437827623737885530e+00,-4.376657041724916208e-01,-7.835499728161656741e-01,5.805037312855508558e-02,-1.474316248511636229e-01,1.448349313765646129e-01
4.116786122322082520e+01,-1.432184880591512499e+00,-4.489760444623518976e-01,-7.868995368122231326e-01,5.819097226695233577e-02,-1.474316248511636229e-01,1.448000361084780530e-01
4.116960024833679199e+01,-1.432184880591512499e+00,-4.303561773717423100e-01,-7.835499728161656741e-01,5.843647833082012827e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.117187833786010742e+01,-1.432184880591512499e+00,-4.489760444623518976e-01,-7.835499728161656741e-01,5.843647833082012827e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.117361021041870117e+01,-1.416911164448234173e+00,-4.489760444623518976e-01,-7.868995368122231326e-01,5.878613309402853926e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.117592573165893555e+01,-1.416911164448234173e+00,-4.303561773717423100e-01,-7.868995368122231326e-01,5.910142454431337178e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.117757225036621094e+01,-1.416911164448234173e+00,-4.292147763991757126e-01,-7.891901657836042361e-01,5.918172060207426560e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.117999577522277832e+01,-1.416911164448234173e+00,-4.292147763991757126e-01,-7.891901657836042361e-01,5.976782921507643731e-02,-1.474316248511636229e-01,1.449761686947254602e-01
4.118176221847534180e+01,-1.414610943517602415e+00,-4.303561773717423100e-01,-7.891901657836042361e-01,5.976782921507643731e-02,-1.474316248511636229e-01,1.448000361084780530e-01
4.118389081954956055e+01,-1.410396784802054881e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.474316248511636229e-01,1.450013478892202556e-01
4.118561863899230957e+01,-1.410396784802054881e+00,-4.667424576069872932e-01,-7.992102019257829593e-01,5.918172060207426560e-02,-1.474521314337781108e-01,1.448000361084780530e-01
4.118772697448730469e+01,-1.410209123573775924e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.475247275072799069e-01,1.448000361084780530e-01
4.118958187103271484e+01,-1.410396784802054881e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.475247275072799069e-01,1.448071898441441463e-01
4.119177770614624023e+01,-1.414610943517602415e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.475247275072799069e-01,1.445967259857354748e-01
4.119348621368408203e+01,-1.414610943517602415e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.474273610253520883e-01,1.448071898441441463e-01
4.119565439224243164e+01,-1.416911164448234173e+00,-4.357255960600088240e-01,-7.992102019257829593e-01,5.976782921507643731e-02,-1.473917292817308877e-01,1.450013478892202556e-01
4.119794726371765137e+01,-1.416911164448234173e+00,-4.397834751796185215e-01,-7.992102019257829593e-01,5.915723793260917185e-02,-1.474273610253520883e-01,1.450013478892202556e-01
4.119969582557678223e+01,-1.418461947771756160e+00,-4.667424576069872932e-01,-7.959716652081859634e-01,5.915723793260917185e-02,-1.474273610253520883e-01,1.450013478892202556e-01
4.120145440101623535e+01,-1.464641270416163543e+00,-4.539000850998864967e-01,-7.775943151790347674e-01,5.915723793260917185e-02,-1.473917292817308877e-01,1.450013478892202556e-01
