# elapsed time, force_x, force_y, force_z, torque_x, torque_y, torque_z
1.019468951225280762e+01,-1.056448482035451664e-01,1.058511842662333224e+00,7.684881576554426497e-01,1.202346037246900499e-02,2.768835921400205485e-02,1.599212633277318218e-01
1.019635486602783203e+01,-1.092553970582506723e-01,1.058767251058789105e+00,7.568616415024735922e-01,1.253352916416848074e-02,2.844861868778103195e-02,1.599212633277318218e-01
1.019858360290527344e+01,-1.056448482035451664e-01,1.062418519918078452e+00,7.568616415024735922e-01,1.283438356308289410e-02,2.768835921400205485e-02,1.599212633277318218e-01
1.020023202896118164e+01,-9.394452617562056018e-02,1.058767251058789105e+00,7.532390276708302856e-01,1.253352916416848074e-02,2.761516662201773248e-02,1.602092950302278773e-01
1.020248031616210938e+01,-9.532676898169863133e-02,1.062418519918078452e+00,7.514222262696947929e-01,1.283633375112778509e-02,2.768835921400205485e-02,1.599212633277318218e-01
1.020433378219604492e+01,-1.056448482035451664e-01,1.090942603029504188e+00,7.514222262696947929e-01,1.293246786744371192e-02,2.844861868778103195e-02,1.599212633277318218e-01
1.020656871795654297e+01,-1.056448482035451664e-01,1.062418519918078452e+00,7.514222262696947929e-01,1.293246786744371192e-02,2.844861868778103195e-02,1.598568833629627761e-01
1.020817494392395020e+01,-1.092553970582506723e-01,1.058767251058789105e+00,7.241755700605039259e-01,1.293246786744371192e-02,2.844861868778103195e-02,1.598568833629627761e-01
1.021056246757507324e+01,-1.092553970582506723e-01,1.058767251058789105e+00,6.981957028530806353e-01,1.283633375112778509e-02,2.859672478727552994e-02,1.597996277407247867e-01
1.021228194236755371e+01,-1.092553970582506723e-01,1.058767251058789105e+00,6.981957028530806353e-01,1.283633375112778509e-02,2.859672478727552994e-02,1.597996277407247867e-01
1.021447634696960449e+01,-1.204515630956174560e-01,1.058767251058789105e+00,7.241755700605039259e-01,1.253352916416848074e-02,2.863550072333369279e-02,1.597948695480084780e-01
1.021634125709533691e+01,-1.427879344456548238e-01,1.058767251058789105e+00,7.292212625975467155e-01,1.239957972982050176e-02,2.897088395651470707e-02,1.597948695480084780e-01
1.021857476234436035e+01,-1.204515630956174560e-01,1.061813614553871910e+00,7.292212625975467155e-01,1.190636649117908508e-02,2.863550072333369279e-02,1.597948695480084780e-01
1.022032022476196289e+01,-1.351059942881324416e-01,1.061813614553871910e+00,7.292212625975467155e-01,1.190636649117908508e-02,2.859672478727552994e-02,1.598568833629627761e-01
1.022254467010498047e+01,-1.427879344456548238e-01,1.061813614553871910e+00,7.292212625975467155e-01,1.188697220994475862e-02,2.863550072333369279e-02,1.598568833629627761e-01
1.022429132461547852e+01,-1.427879344456548238e-01,1.092275865056675510e+00,7.241755700605039259e-01,1.188697220994475862e-02,2.863550072333369279e-02,1.598568833629627761e-01
1.022657513618469238e+01,-1.702905811479724918e-01,1.061813614553871910e+00,7.264975042533596827e-01,1.186747690499092428e-02,2.863550072333369279e-02,1.600624266908709792e-01
1.022828865051269531e+01,-1.427879344456548238e-01,1.061813614553871910e+00,7.292212625975467155e-01,1.185910729720974360e-02,2.863550072333369279e-02,1.600624266908709792e-01
1.023053121566772461e+01,-1.351059942881324416e-01,1.058767251058789105e+00,7.292212625975467155e-01,1.166764193718669226e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.023223924636840820e+01,-1.351059942881324416e-01,1.058767251058789105e+00,7.292212625975467155e-01,1.166764193718669226e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.023447132110595703e+01,-1.237332632024348567e-01,1.058767251058789105e+00,7.292212625975467155e-01,1.185910729720974360e-02,2.798666887179065282e-02,1.600769979333023230e-01
1.023620605468750000e+01,-1.237332632024348567e-01,1.060280249499327532e+00,7.292212625975467155e-01,1.185910729720974360e-02,2.798666887179065282e-02,1.600624266908709792e-01
1.023841691017150879e+01,-1.237332632024348567e-01,1.058442051006639240e+00,7.292212625975467155e-01,1.166764193718669226e-02,2.798666887179065282e-02,1.600624266908709792e-01
1.024015760421752930e+01,-1.351059942881324416e-01,1.058442051006639240e+00,7.264975042533596827e-01,1.166764193718669226e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.024255371093750000e+01,-1.427879344456548238e-01,1.058442051006639240e+00,7.292212625975467155e-01,1.166764193718669226e-02,2.863550072333369279e-02,1.600624266908709792e-01
1.024427413940429688e+01,-1.469083755603566577e-01,1.056560388206990497e+00,7.292212625975467155e-01,1.142526304152027654e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.024663400650024414e+01,-1.427879344456548238e-01,1.056560388206990497e+00,7.320164932021822057e-01,1.142526304152027654e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.024837207794189453e+01,-1.351059942881324416e-01,1.056560388206990497e+00,7.443024983763688596e-01,1.142254578111063547e-02,2.798666887179065282e-02,1.600624266908709792e-01
1.025064635276794434e+01,-1.427879344456548238e-01,1.056560388206990497e+00,7.443024983763688596e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.600624266908709792e-01
1.025240802764892578e+01,-1.351059942881324416e-01,1.056560388206990497e+00,7.443024983763688596e-01,1.110796007911935002e-02,2.798666887179065282e-02,1.600624266908709792e-01
1.025454354286193848e+01,-1.351059942881324416e-01,1.058442051006639240e+00,7.320164932021822057e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.598939830934966999e-01
1.025622701644897461e+01,-1.351059942881324416e-01,1.058442051006639240e+00,7.617589006722035316e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.598939830934966999e-01
1.025859880447387695e+01,-1.351059942881324416e-01,1.058442051006639240e+00,7.617589006722035316e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.597121673787853802e-01
1.026023030281066895e+01,-1.351059942881324416e-01,1.056560388206990497e+00,7.617589006722035316e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.597121673787853802e-01
1.026243090629577637e+01,-1.283967894403030552e-01,1.058442051006639240e+00,7.617589006722035316e-01,1.110796007911935002e-02,2.853950559937849449e-02,1.597121673787853802e-01
1.026430463790893555e+01,-1.283967894403030552e-01,1.058442051006639240e+00,7.320164932021822057e-01,1.109391379486705624e-02,2.853950559937849449e-02,1.596418310351026548e-01
1.026651763916015625e+01,-1.283967894403030552e-01,1.034739460618547380e+00,7.320164932021822057e-01,1.057907655287734609e-02,2.873263262761764983e-02,1.597121673787853802e-01
1.026816630363464355e+01,-1.237332632024348567e-01,1.034739460618547380e+00,7.320164932021822057e-01,1.057907655287734609e-02,2.873263262761764983e-02,1.596685285861383086e-01
1.027047705650329590e+01,-1.283967894403030552e-01,1.029179492094565385e+00,7.254411236844776623e-01,1.109391379486705624e-02,2.878973547366683872e-02,1.597121673787853802e-01
1.027213335037231445e+01,-1.283967894403030552e-01,1.029179492094565385e+00,7.211024577685740677e-01,1.109391379486705624e-02,2.878973547366683872e-02,1.597990541980607304e-01
1.027444934844970703e+01,-1.133147736888069912e-01,1.025539511826032868e+00,7.211024577685740677e-01,1.146701843416132911e-02,2.873263262761764983e-02,1.597121673787853802e-01
1.027618026733398438e+01,-1.133147736888069912e-01,1.025539511826032868e+00,7.206273635487685514e-01,1.146701843416132911e-02,2.873263262761764983e-02,1.596685285861383086e-01
1.027847337722778320e+01,-1.283967894403030552e-01,1.025539511826032868e+00,7.206273635487685514e-01,1.120731187479769540e-02,2.878973547366683872e-02,1.596418310351026548e-01
1.028010559082031250e+01,-1.283967894403030552e-01,1.025539511826032868e+00,7.194524631458141251e-01,1.120731187479769540e-02,2.878973547366683872e-02,1.596418310351026548e-01
1.028241086006164551e+01,-1.283967894403030552e-01,1.025539511826032868e+00,7.194524631458141251e-01,1.120731187479769540e-02,2.878973547366683872e-02,1.596418310351026548e-01
1.028455877304077148e+01,-1.283967894403030552e-01,1.025539511826032868e+00,7.159036405718971485e-01,1.146701843416132911e-02,2.878973547366683872e-02,1.593936469633803199e-01
1.028639912605285645e+01,-1.283967894403030552e-01,1.025224347786137136e+00,7.159036405718971485e-01,1.161282561134437639e-02,2.885842882119366362e-02,1.596418310351026548e-01
1.028858590126037598e+01,-1.560381341334097227e-01,1.025224347786137136e+00,7.159036405718971485e-01,1.161282561134437639e-02,2.885842882119366362e-02,1.593750696333273431e-01
1.029030704498291016e+01,-1.560381341334097227e-01,1.025224347786137136e+00,7.159036405718971485e-01,1.161282561134437639e-02,2.885842882119366362e-02,1.591963954826240979e-01
1.029255723953247070e+01,-1.283967894403030552e-01,1.025539511826032868e+00,7.134787192838404346e-01,1.163409749920300135e-02,2.878973547366683872e-02,1.593750696333273431e-01
1.029431796073913574e+01,-1.283967894403030552e-01,1.033620160313188707e+00,7.134787192838404346e-01,1.172241688621522039e-02,2.878973547366683872e-02,1.593750696333273431e-01
1.029667949676513672e+01,-1.379499850405632999e-01,1.033620160313188707e+00,6.947256381350155330e-01,1.172241688621522039e-02,2.853788619857038772e-02,1.595302020063513460e-01
1.029834198951721191e+01,-1.379499850405632999e-01,1.025539511826032868e+00,6.947256381350155330e-01,1.163409749920300135e-02,2.853788619857038772e-02,1.595302020063513460e-01
1.030072546005249023e+01,-1.133147736888069912e-01,1.025224347786137136e+00,6.947256381350155330e-01,1.161282561134437639e-02,2.833551287419418599e-02,1.596685285861383086e-01
1.030235004425048828e+01,-1.379499850405632999e-01,1.025539511826032868e+00,6.930134706770024744e-01,1.146701843416132911e-02,2.833551287419418599e-02,1.596685285861383086e-01
1.030466413497924805e+01,-1.379499850405632999e-01,1.025224347786137136e+00,6.930134706770024744e-01,1.120731187479769540e-02,2.833551287419418599e-02,1.595302020063513460e-01
1.030624175071716309e+01,-1.105170942643468046e-01,1.025539511826032868e+00,6.867780289911477043e-01,1.146701843416132911e-02,2.779098075325833750e-02,1.595302020063513460e-01
1.030853271484375000e+01,-1.379499850405632999e-01,1.028774995649828217e+00,6.842927683673255546e-01,1.146701843416132911e-02,2.779098075325833750e-02,1.595302020063513460e-01
1.031024360656738281e+01,-1.379499850405632999e-01,1.028774995649828217e+00,6.842927683673255546e-01,1.146701843416132911e-02,2.780896535284976823e-02,1.595302020063513460e-01
1.031252431869506836e+01,-1.379499850405632999e-01,1.028774995649828217e+00,6.735134493747245710e-01,1.120731187479769540e-02,2.780896535284976823e-02,1.593750696333273431e-01
1.031472373008728027e+01,-1.387910258745871095e-01,1.033620160313188707e+00,6.654519031338860247e-01,1.161282561134437639e-02,2.822689510656623685e-02,1.591963954826240979e-01
1.031643033027648926e+01,-1.460828704670430189e-01,1.033620160313188707e+00,6.618186869881984569e-01,1.163409749920300135e-02,2.833551287419418599e-02,1.593750696333273431e-01
1.031862664222717285e+01,-1.764280497090755240e-01,1.033620160313188707e+00,6.530308720276927215e-01,1.163409749920300135e-02,2.853788619857038772e-02,1.591963954826240979e-01
1.032033753395080566e+01,-1.764280497090755240e-01,1.028774995649828217e+00,6.530308720276927215e-01,1.163409749920300135e-02,2.833551287419418599e-02,1.594871368201893069e-01
1.032208132743835449e+01,-1.764280497090755240e-01,1.033620160313188707e+00,6.530308720276927215e-01,1.168719585208291209e-02,2.822689510656623685e-02,1.595302020063513460e-01
1.032436323165893555e+01,-1.460828704670430189e-01,1.033620160313188707e+00,6.530308720276927215e-01,1.168719585208291209e-02,2.788747440192254970e-02,1.594871368201893069e-01
1.032611441612243652e+01,-1.387910258745871095e-01,1.033620160313188707e+00,6.530308720276927215e-01,1.168719585208291209e-02,2.788747440192254970e-02,1.595302020063513460e-01
1.032839274406433105e+01,-1.387910258745871095e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.175158373464440902e-02,2.788747440192254970e-02,1.594871368201893069e-01
1.033013749122619629e+01,-1.387910258745871095e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.168719585208291209e-02,2.780896535284976823e-02,1.594871368201893069e-01
1.033241224288940430e+01,-1.457431838481990372e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.168719585208291209e-02,2.780896535284976823e-02,1.595302020063513460e-01
1.033416342735290527e+01,-1.457431838481990372e-01,1.076952230655965792e+00,6.136181258857409393e-01,1.168719585208291209e-02,2.788747440192254970e-02,1.595633797419964417e-01
1.033651924133300781e+01,-1.460828704670430189e-01,1.076952230655965792e+00,6.077715790379314420e-01,1.168719585208291209e-02,2.809657985617385750e-02,1.594871368201893069e-01
1.033822464942932129e+01,-1.778226559944670604e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.168719585208291209e-02,2.822689510656623685e-02,1.594871368201893069e-01
1.034048271179199219e+01,-1.460828704670430189e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.206790706779747001e-02,2.809657985617385750e-02,1.595633797419964417e-01
1.034223866462707520e+01,-1.460828704670430189e-01,1.076491170920704121e+00,6.136181258857409393e-01,1.206790706779747001e-02,2.809657985617385750e-02,1.595633797419964417e-01
1.034457159042358398e+01,-1.460828704670430189e-01,1.076491170920704121e+00,6.187317901724248559e-01,1.206790706779747001e-02,2.822689510656623685e-02,1.594871368201893069e-01
