# elapsed time, f3_acc_x, f3_acc_y, f3_acc_z, f3_gyro_x, f3_gyro_y, f3_gyro_z
2.405313730239868164e+00,-4.419696331024169922e+00,7.378929615020751953e+00,-4.881777286529541016e+00,-3.593444824218750000e+00,1.678466796875000000e-01,4.348754882812500000e-01
2.416184663772583008e+00,-4.419696331024169922e+00,7.354987621307373047e+00,-4.903325080871582031e+00,-3.593444824218750000e+00,-5.187988281250000000e-01,9.078979492187500000e-01
2.431588172912597656e+00,-4.419696331024169922e+00,7.354987621307373047e+00,-4.884171485900878906e+00,-3.593444824218750000e+00,-2.746582031250000000e-01,7.247924804687500000e-01
2.445252656936645508e+00,-4.431667327880859375e+00,7.354987621307373047e+00,-4.903325080871582031e+00,-3.562927246093750000e+00,-2.746582031250000000e-01,7.247924804687500000e-01
2.457607269287109375e+00,-4.419696331024169922e+00,7.359776020050048828e+00,-4.951209068298339844e+00,-3.479003906250000000e+00,-2.746582031250000000e-01,7.247924804687500000e-01
2.471551418304443359e+00,-4.419696331024169922e+00,7.381323814392089844e+00,-4.951209068298339844e+00,-3.479003906250000000e+00,1.602172851562500000e-01,2.136230468750000000e-01
2.484833240509033203e+00,-4.419696331024169922e+00,7.381323814392089844e+00,-4.941632270812988281e+00,-3.479003906250000000e+00,1.602172851562500000e-01,2.136230468750000000e-01
2.499794960021972656e+00,-4.352658748626708984e+00,7.381323814392089844e+00,-4.941632270812988281e+00,-3.463745117187500000e+00,1.602172851562500000e-01,2.136230468750000000e-01
2.510870456695556641e+00,-4.352658748626708984e+00,7.374141216278076172e+00,-4.912901878356933594e+00,-3.463745117187500000e+00,2.975463867187500000e-01,1.144409179687500000e-01
2.526138305664062500e+00,-4.352658748626708984e+00,7.343016624450683594e+00,-4.953603267669677734e+00,-3.540039062500000000e+00,-3.814697265625000000e-01,8.163452148437500000e-01
2.538232326507568359e+00,-4.319139957427978516e+00,7.340622425079345703e+00,-5.006275653839111328e+00,-3.540039062500000000e+00,-5.340576171875000000e-01,8.163452148437500000e-01
2.553121566772460938e+00,-4.434061527252197266e+00,7.340622425079345703e+00,-5.006275653839111328e+00,-3.540039062500000000e+00,-5.340576171875000000e-01,8.163452148437500000e-01
2.564872264862060547e+00,-4.434061527252197266e+00,7.395689010620117188e+00,-5.011064052581787109e+00,-3.540039062500000000e+00,-4.653930664062500000e-01,8.239746093750000000e-01
2.579636812210083008e+00,-4.434061527252197266e+00,7.395689010620117188e+00,-4.924872875213623047e+00,-3.639221191406250000e+00,-2.365112304687500000e-01,5.416870117187500000e-01
2.595454931259155273e+00,-4.388571739196777344e+00,7.383718013763427734e+00,-4.982333660125732422e+00,-3.479003906250000000e+00,-2.365112304687500000e-01,5.416870117187500000e-01
2.606615304946899414e+00,-4.386177539825440341e+00,7.378929615020751953e+00,-4.982333660125732422e+00,-3.662109375000000000e+00,-2.365112304687500000e-01,5.416870117187500000e-01
2.622158288955688477e+00,-4.386177539825440341e+00,7.383718013763427734e+00,-4.982333660125732422e+00,-3.669738769531250000e+00,2.746582031250000000e-01,7.629394531250000000e-02
2.635187864303588867e+00,-4.386177539825440341e+00,7.338228225708007812e+00,-4.975151062011718750e+00,-3.669738769531250000e+00,-1.525878906250000000e-02,2.899169921875000000e-01
2.649688959121704102e+00,-4.299986362457275391e+00,7.338228225708007812e+00,-4.975151062011718750e+00,-3.784179687500000000e+00,-1.525878906250000000e-02,2.899169921875000000e-01
2.664653062820434570e+00,-4.340687751770020419e+00,7.338228225708007812e+00,-4.944026470184326172e+00,-3.562927246093750000e+00,-1.525878906250000000e-02,2.899169921875000000e-01
2.676396608352661133e+00,-4.340687751770020419e+00,7.338228225708007812e+00,-4.982333660125732422e+00,-3.585815429687500000e+00,-4.882812500000000000e-01,9.384155273437500000e-01
2.691927433013916016e+00,-4.340687751770020419e+00,7.364564418792724609e+00,-4.958391666412353516e+00,-3.562927246093750000e+00,-2.365112304687500000e-01,6.103515625000000000e-01
