# elapsed time, f1_acc_x, f1_acc_y, f1_acc_z, f1_gyro_x, f1_gyro_y, f1_gyro_z
6.632721424102783203e-01,-2.777273893356323242e+00,2.798821687698364258e+00,-9.765948295593261719e+00,-3.631591796875000000e+00,-4.348754882812500000e-01,7.095336914062500000e-01
6.804351806640625000e-01,-2.777273893356323242e+00,2.798821687698364258e+00,-9.765948295593261719e+00,-3.669738769531250000e+00,-9.155273437500000000e-02,4.119873046875000000e-01
6.928336620330810547e-01,-2.777273893356323242e+00,2.810792684555053711e+00,-9.751583099365234375e+00,-3.669738769531250000e+00,-9.155273437500000000e-02,4.119873046875000000e-01
7.050158977508544922e-01,-2.753331899642944336e+00,2.753331899642944336e+00,-9.787496566772459161e+00,-3.669738769531250000e+00,-9.155273437500000000e-02,4.119873046875000000e-01
7.224411964416503906e-01,-2.715024709701538086e+00,2.772485494613647461e+00,-9.787496566772459161e+00,-3.578186035156250000e+00,5.340576171875000000e-02,3.814697265625000000e-02
7.339067459106445312e-01,-2.715024709701538086e+00,2.772485494613647461e+00,-9.787496566772459161e+00,-3.578186035156250000e+00,-2.441406250000000000e-01,6.408691406250000000e-01
7.472743988037109375e-01,-2.715024709701538086e+00,2.772485494613647461e+00,-9.749189376831056464e+00,-3.578186035156250000e+00,-2.441406250000000000e-01,5.798339843750000000e-01
7.616245746612548828e-01,-2.698265314102172852e+00,2.806004285812377930e+00,-9.727641105651855469e+00,-3.822326660156250000e+00,-2.441406250000000000e-01,5.798339843750000000e-01
7.735376358032226562e-01,-2.683900117874145064e+00,2.810792684555053711e+00,-9.715670585632324219e+00,-3.707885742187500000e+00,-9.918212890625000000e-02,5.798339843750000000e-01
7.890787124633789062e-01,-2.683900117874145064e+00,2.810792684555053711e+00,-9.727641105651855469e+00,-3.753662109375000000e+00,-9.918212890625000000e-02,5.645751953125000000e-01
8.013701438903808594e-01,-2.683900117874145064e+00,2.801215887069702148e+00,-9.715670585632324219e+00,-3.753662109375000000e+00,-9.918212890625000000e-02,5.645751953125000000e-01
8.162610530853271484e-01,-2.657563924789428711e+00,2.762908697128295898e+00,-9.722852706909179688e+00,-3.753662109375000000e+00,-1.831054687500000000e-01,5.645751953125000000e-01
8.318488597869873047e-01,-2.657563924789428711e+00,2.746149301528930664e+00,-9.722852706909179688e+00,-3.799438476562500000e+00,2.441406250000000000e-01,3.128051757812500000e-01
8.430573940277099609e-01,-2.657563924789428711e+00,2.746149301528930664e+00,-9.746794700622560370e+00,-3.799438476562500000e+00,-1.449584960937500000e-01,7.934570312500000000e-01
8.583717346191406250e-01,-2.693476915359497070e+00,2.736572504043579102e+00,-9.775525093078611505e+00,-3.799438476562500000e+00,-1.144409179687500000e-01,7.934570312500000000e-01
8.701851367950439453e-01,-2.700659513473510742e+00,2.774879693984985352e+00,-9.806650161743164062e+00,-3.921508789062500000e+00,-1.144409179687500000e-01,7.934570312500000000e-01
8.850774765014648438e-01,-2.700659513473510742e+00,2.774879693984985352e+00,-9.806650161743164062e+00,-3.639221191406250000e+00,-1.144409179687500000e-01,8.239746093750000000e-01
8.969156742095947266e-01,-2.700659513473510742e+00,2.774879693984985352e+00,-9.806650161743164062e+00,-3.639221191406250000e+00,-2.593994140625000000e-01,6.942749023437500000e-01
9.121983051300048828e-01,-2.777273893356323242e+00,2.774879693984985352e+00,-9.646238327026367188e+00,-3.639221191406250000e+00,-2.593994140625000000e-01,6.942749023437500000e-01
9.239108562469482422e-01,-2.762908697128295898e+00,2.810792684555053711e+00,-9.730035781860351562e+00,-3.623962402343750000e+00,-2.593994140625000000e-01,6.942749023437500000e-01
9.394874572753906250e-01,-2.762908697128295898e+00,2.817975282669067383e+00,-9.715670585632324219e+00,-3.761291503906250000e+00,-1.678466796875000000e-01,1.296997070312500000e-01
9.546222686767578125e-01,-2.753331899642944336e+00,2.829946279525756836e+00,-9.715670585632324219e+00,-3.730773925781250000e+00,-4.577636718750000000e-02,1.296997070312500000e-01
9.663965702056884766e-01,-2.715024709701538086e+00,2.817975282669067383e+00,-9.715670585632324219e+00,-3.730773925781250000e+00,-4.577636718750000000e-02,1.296997070312500000e-01
9.810698032379150391e-01,-2.715024709701538086e+00,2.779668092727661133e+00,-9.811438560485839844e+00,-3.662109375000000000e+00,-4.577636718750000000e-02,7.629394531250000000e-02
9.927008152008056641e-01,-2.715024709701538086e+00,2.779668092727661133e+00,-9.811438560485839844e+00,-3.547668457031250000e+00,-2.212524414062500000e-01,5.264282226562500000e-01
1.008217096328735352e+00,-2.636016130447388139e+00,2.784456491470336914e+00,-9.746794700622560370e+00,-3.433227539062500000e+00,-2.212524414062500000e-01,5.264282226562500000e-01
1.019908189773559570e+00,-2.724601507186889648e+00,2.796427488327026367e+00,-9.746794700622560370e+00,-3.433227539062500000e+00,-2.212524414062500000e-01,5.264282226562500000e-01
1.034982442855834961e+00,-2.712630510330200195e+00,2.796427488327026367e+00,-9.753977775573730469e+00,-3.578186035156250000e+00,-2.212524414062500000e-01,8.850097656250000000e-01
1.050355672836303711e+00,-2.712630510330200195e+00,2.796427488327026367e+00,-9.768342971801757812e+00,-3.654479980468750000e+00,-2.899169921875000000e-01,6.942749023437500000e-01
1.061676740646362305e+00,-2.712630510330200195e+00,2.808398485183715820e+00,-9.753977775573730469e+00,-3.654479980468750000e+00,-2.899169921875000000e-01,6.942749023437500000e-01
1.077386856079101562e+00,-2.671929121017456055e+00,2.791639089584350586e+00,-9.718064308166503906e+00,-3.654479980468750000e+00,-2.899169921875000000e-01,6.942749023437500000e-01
1.089650392532348633e+00,-2.719813108444213867e+00,2.786850690841674805e+00,-9.718064308166503906e+00,-3.684997558593750000e+00,1.602172851562500000e-01,2.441406250000000000e-01
1.103835582733154297e+00,-2.719813108444213867e+00,2.772485494613647461e+00,-9.718064308166503906e+00,-3.791809082031250000e+00,-8.392333984375000000e-02,7.171630859375000000e-01
1.115888595581054688e+00,-2.719813108444213867e+00,2.772485494613647461e+00,-9.753977775573730469e+00,-3.791809082031250000e+00,-7.629394531250000000e-02,7.171630859375000000e-01
