# elapsed time, f2_acc_x, f2_acc_y, f2_acc_z, f2_gyro_x, f2_gyro_y, f2_gyro_z
6.762835979461669922e-01,-1.929726481437683105e+00,-9.023746490478515625e+00,-3.337517023086547852e+00,3.051757812500000000e-01,-3.738403320312500000e-01,-1.602172851562500000e-01
6.950325965881347656e-01,-1.951274394989013672e+00,-8.985439300537109375e+00,-3.383007049560546875e+00,3.051757812500000000e-01,-3.738403320312500000e-01,-1.602172851562500000e-01
7.080488204956054688e-01,-1.915361285209655984e+00,-8.985439300537109375e+00,-3.383007049560546875e+00,2.136230468750000000e-01,-2.288818359375000000e-01,-2.441406250000000000e-01
7.191956043243408203e-01,-1.927332282066344771e+00,-8.973467826843261719e+00,-3.383007049560546875e+00,2.136230468750000000e-01,-2.288818359375000000e-01,-2.441406250000000000e-01
7.338776588439941406e-01,-1.927332282066344771e+00,-8.999804496765136719e+00,-3.325546026229858398e+00,2.365112304687500000e-01,-3.128051757812500000e-01,-2.975463867187500000e-01
7.459061145782470703e-01,-1.927332282066344771e+00,-8.990227699279785156e+00,-3.325546026229858398e+00,2.365112304687500000e-01,-3.128051757812500000e-01,-1.678466796875000000e-01
7.622737884521484375e-01,-1.886630892753601074e+00,-8.990227699279785156e+00,-3.311180830001831055e+00,1.449584960937500000e-01,-1.220703125000000000e-01,-1.678466796875000000e-01
7.756333351135253906e-01,-1.886630892753601074e+00,-8.983044624328613281e+00,-3.327940225601196289e+00,1.449584960937500000e-01,-9.918212890625000000e-02,-1.678466796875000000e-01
7.886421680450439453e-01,-1.867477297782897949e+00,-8.954314231872558594e+00,-3.301604032516479492e+00,1.754760742187500000e-01,-1.220703125000000000e-01,-1.068115234375000000e-01
8.026368618011474609e-01,-1.881842494010925293e+00,-8.983044624328613281e+00,-3.299209833145141602e+00,2.441406250000000000e-01,-1.602172851562500000e-01,-1.068115234375000000e-01
8.160421848297119141e-01,-1.860294699668884499e+00,-8.997409820556640625e+00,-3.284844636917114258e+00,2.517700195312500000e-01,-1.602172851562500000e-01,-1.068115234375000000e-01
8.297574520111083984e-01,-1.881842494010925293e+00,-8.997409820556640625e+00,-3.299209833145141602e+00,2.517700195312500000e-01,-1.449584960937500000e-01,-1.068115234375000000e-01
8.425228595733642578e-01,-1.941697597503662109e+00,-8.997409820556640625e+00,-3.315969228744506836e+00,2.517700195312500000e-01,-1.449584960937500000e-01,-1.602172851562500000e-01
8.575673103332519531e-01,-1.944091796875000000e+00,-9.040505409240724433e+00,-3.315969228744506836e+00,4.653930664062500000e-01,-1.449584960937500000e-01,-2.517700195312500000e-01
8.723368644714355469e-01,-1.944091796875000000e+00,-9.042900085449220526e+00,-3.308786630630493164e+00,4.653930664062500000e-01,-3.204345703125000000e-01,-2.517700195312500000e-01
8.846678733825683594e-01,-1.898601889610290305e+00,-9.040505409240724433e+00,-3.284844636917114258e+00,5.264282226562500000e-01,-1.373291015625000000e-01,-3.280639648437500000e-01
8.993213176727294922e-01,-1.898601889610290305e+00,-9.009381294250488281e+00,-3.284844636917114258e+00,4.348754882812500000e-01,-1.907348632812500000e-01,-1.678466796875000000e-01
9.123125076293945312e-01,-1.939303398132323997e+00,-9.009381294250488281e+00,-3.330334424972534180e+00,4.577636718750000000e-01,-1.907348632812500000e-01,-3.128051757812500000e-01
9.263038635253906250e-01,-1.939303398132323997e+00,-9.006986618041992188e+00,-3.330334424972534180e+00,4.577636718750000000e-01,-3.967285156250000000e-01,-1.678466796875000000e-01
9.377515316009521484e-01,-1.939303398132323997e+00,-9.014169692993164062e+00,-3.318363428115844727e+00,4.577636718750000000e-01,-3.967285156250000000e-01,-1.144409179687500000e-01
9.540407657623291016e-01,-1.896207690238952859e+00,-9.006986618041992188e+00,-3.289633035659790039e+00,4.501342773437500000e-01,-3.967285156250000000e-01,-1.144409179687500000e-01
9.654712677001953125e-01,-1.927332282066344771e+00,-8.990227699279785156e+00,-3.318363428115844727e+00,4.501342773437500000e-01,-3.356933593750000000e-01,-1.296997070312500000e-01
9.816353321075439453e-01,-1.927332282066344771e+00,-8.990227699279785156e+00,-3.411737442016601562e+00,4.501342773437500000e-01,-1.754760742187500000e-01,-1.296997070312500000e-01
9.960536956787109375e-01,-1.927332282066344771e+00,-8.999804496765136719e+00,-3.411737442016601562e+00,1.831054687500000000e-01,-7.629394531250000000e-02,-1.449584960937500000e-01
