# elapsed time, f2_acc_x, f2_acc_y, f2_acc_z, f2_gyro_x, f2_gyro_y, f2_gyro_z
6.887578964233398438e-01,-4.256890773773193359e+00,-7.053318023681640625e+00,-5.245696067810058594e+00,2.136230468750000000e-01,-1.144409179687500000e-01,6.103515625000000000e-02
7.038168907165527344e-01,-4.256890773773193359e+00,-7.074865818023681641e+00,-5.245696067810058594e+00,2.136230468750000000e-01,-1.983642578125000000e-01,-6.866455078125000000e-02
7.160732746124267578e-01,-4.242525577545166016e+00,-7.074865818023681641e+00,-5.245696067810058594e+00,3.585815429687500000e-01,-3.051757812500000000e-02,-2.441406250000000000e-01
7.304348945617675781e-01,-4.240131378173828125e+00,-7.074865818023681641e+00,-5.216965198516845703e+00,4.196166992187500000e-01,-1.220703125000000000e-01,-2.593994140625000000e-01
7.454981803894042969e-01,-4.211400508880615234e+00,-7.062894821166992188e+00,-5.216965198516845703e+00,3.585815429687500000e-01,-1.220703125000000000e-01,-2.593994140625000000e-01
7.585313320159912109e-01,-4.240131378173828125e+00,-7.062894821166992188e+00,-5.286397457122802734e+00,4.196166992187500000e-01,-1.220703125000000000e-01,-2.670288085937500000e-01
7.727687358856201172e-01,-4.259284973144531250e+00,-7.062894821166992188e+00,-5.286397457122802734e+00,4.882812500000000000e-01,-1.907348632812500000e-01,-1.754760742187500000e-01
7.844336032867431641e-01,-4.259284973144531250e+00,-7.058106422424316406e+00,-5.286397457122802734e+00,4.882812500000000000e-01,-1.831054687500000000e-01,-2.136230468750000000e-01
8.000547885894775391e-01,-4.249708175659179688e+00,-7.058106422424316406e+00,-5.288791656494140625e+00,4.882812500000000000e-01,-1.907348632812500000e-01,-1.754760742187500000e-01
8.108901977539062500e-01,-4.249708175659179688e+00,-7.067683219909667969e+00,-5.310339450836181641e+00,6.256103515625000000e-01,-3.738403320312500000e-01,-1.678466796875000000e-01
8.269791603088378906e-01,-4.249708175659179688e+00,-7.067683219909667969e+00,-5.310339450836181641e+00,6.256103515625000000e-01,-3.738403320312500000e-01,-1.678466796875000000e-01
8.420393466949462891e-01,-4.201823711395263672e+00,-7.067683219909667969e+00,-5.262455463409423828e+00,4.577636718750000000e-01,-3.433227539062500000e-01,-1.678466796875000000e-01
8.544642925262451172e-01,-4.201823711395263672e+00,-7.055712223052978516e+00,-5.262455463409423828e+00,3.814697265625000000e-01,-3.433227539062500000e-01,-1.678466796875000000e-01
8.694829940795898438e-01,-4.230554103851318359e+00,-7.058106422424316406e+00,-5.272032260894775391e+00,3.356933593750000000e-01,-3.433227539062500000e-01,-1.678466796875000000e-01
8.808641433715820312e-01,-4.230554103851318359e+00,-7.058106422424316406e+00,-5.300762653350830078e+00,3.509521484375000000e-01,-2.365112304687500000e-01,-2.441406250000000000e-01
8.966062068939208984e-01,-4.211400508880615234e+00,-7.058106422424316406e+00,-5.291185855865479404e+00,3.356933593750000000e-01,-2.365112304687500000e-01,-2.441406250000000000e-01
9.072911739349365234e-01,-4.211400508880615234e+00,-7.050923824310302734e+00,-5.291185855865479404e+00,1.373291015625000000e-01,-1.144409179687500000e-01,-2.593994140625000000e-01
9.234941005706787109e-01,-4.237736701965332031e+00,-7.041347026824951172e+00,-5.291185855865479404e+00,1.373291015625000000e-01,-2.899169921875000000e-01,-2.670288085937500000e-01
9.383678436279296875e-01,-4.237736701965332031e+00,-7.031770229339599609e+00,-5.286397457122802734e+00,1.373291015625000000e-01,-2.899169921875000000e-01,-2.670288085937500000e-01
9.493424892425537109e-01,-4.247313976287841797e+00,-7.031770229339599609e+00,-5.315127849578857422e+00,1.754760742187500000e-01,-2.899169921875000000e-01,-1.296997070312500000e-01
9.643831253051757812e-01,-4.256890773773193359e+00,-7.012616634368896484e+00,-5.298368453979492188e+00,1.678466796875000000e-01,-2.746582031250000000e-01,-8.392333984375000000e-02
9.777390956878662109e-01,-4.256890773773193359e+00,-7.055712223052978516e+00,-5.298368453979492188e+00,1.678466796875000000e-01,-1.602172851562500000e-01,-1.296997070312500000e-01
9.922766685485839844e-01,-4.256890773773193359e+00,-7.067683219909667969e+00,-5.272032260894775391e+00,1.678466796875000000e-01,-2.746582031250000000e-01,-9.155273437500000000e-02
1.006043910980224609e+00,-4.252102375030517578e+00,-7.067683219909667969e+00,-5.272032260894775391e+00,8.392333984375000000e-02,-1.907348632812500000e-01,-2.059936523437500000e-01
1.021285533905029297e+00,-4.261679172515869141e+00,-7.065289020538330078e+00,-5.284003257751464844e+00,2.517700195312500000e-01,-1.983642578125000000e-01,-2.136230468750000000e-01
1.032989978790283203e+00,-4.261679172515869141e+00,-7.065289020538330078e+00,-5.319916248321533203e+00,2.517700195312500000e-01,-1.907348632812500000e-01,-2.136230468750000000e-01
1.046557903289794922e+00,-4.261679172515869141e+00,-7.065289020538330078e+00,-5.284003257751464844e+00,2.593994140625000000e-01,-5.340576171875000000e-02,-5.340576171875000000e-02
1.063185691833496094e+00,-4.252102375030517578e+00,-7.031770229339599609e+00,-5.319916248321533203e+00,3.204345703125000000e-01,-5.340576171875000000e-02,-5.340576171875000000e-02
1.073647737503051758e+00,-4.249708175659179688e+00,-7.031770229339599609e+00,-5.243301868438720703e+00,5.798339843750000000e-01,-1.373291015625000000e-01,-1.525878906250000000e-02
1.088174581527709961e+00,-4.225765705108642578e+00,-7.082048416137695312e+00,-5.260061264038085938e+00,5.950927734375000000e-01,-1.373291015625000000e-01,-2.746582031250000000e-01
1.105230331420898438e+00,-4.220977306365966797e+00,-7.082048416137695312e+00,-5.231330394744873047e+00,5.950927734375000000e-01,-1.144409179687500000e-01,-3.356933593750000000e-01
1.115643024444580078e+00,-4.213794708251953125e+00,-7.082048416137695312e+00,-5.260061264038085938e+00,5.950927734375000000e-01,-1.144409179687500000e-01,-3.356933593750000000e-01
1.129826784133911133e+00,-4.194641113281250000e+00,-7.077260017395020419e+00,-5.228936195373535156e+00,4.653930664062500000e-01,-1.525878906250000000e-01,-2.288818359375000000e-01
1.143838644027709961e+00,-4.194641113281250000e+00,-7.077260017395020419e+00,-5.272032260894775391e+00,4.577636718750000000e-01,-3.433227539062500000e-01,0.000000000000000000e+00
1.157176494598388672e+00,-4.220977306365966797e+00,-7.065289020538330078e+00,-5.286397457122802734e+00,4.577636718750000000e-01,-3.433227539062500000e-01,-2.288818359375000000e-01
1.169426679611206055e+00,-4.223371505737304688e+00,-7.062894821166992188e+00,-5.286397457122802734e+00,2.212524414062500000e-01,-3.509521484375000000e-01,-7.629394531250000000e-03
1.186187267303466797e+00,-4.237736701965332031e+00,-7.065289020538330078e+00,-5.286397457122802734e+00,2.212524414062500000e-01,-3.585815429687500000e-01,-3.051757812500000000e-02
1.197462081909179688e+00,-4.237736701965332031e+00,-7.079654216766357422e+00,-5.276820659637451172e+00,2.212524414062500000e-01,-3.585815429687500000e-01,-3.051757812500000000e-02
1.210590124130249023e+00,-4.237736701965332031e+00,-7.079654216766357422e+00,-5.293580055236816406e+00,2.212524414062500000e-01,-1.754760742187500000e-01,-1.068115234375000000e-01
1.228346586227416992e+00,-4.247313976287841797e+00,-7.058106422424316406e+00,-5.284003257751464844e+00,-1.525878906250000000e-02,-1.754760742187500000e-01,-1.068115234375000000e-01
1.239328145980834961e+00,-4.247313976287841797e+00,-7.058106422424316406e+00,-5.284003257751464844e+00,-3.814697265625000000e-02,-1.754760742187500000e-01,-1.525878906250000000e-02
1.254237174987792969e+00,-4.247313976287841797e+00,-7.058106422424316406e+00,-5.272032260894775391e+00,-3.814697265625000000e-02,-1.831054687500000000e-01,3.051757812500000000e-02
1.382285594940185547e+00,-4.177881717681884766e+00,-7.058106422424316406e+00,-5.248090267181396484e+00,1.449584960937500000e-01,-1.831054687500000000e-01,3.051757812500000000e-02
1.393068075180053711e+00,-4.319139957427978516e+00,-5.762843608856201172e+00,1.539471626281738503e+00,2.499923706054687500e+02,-3.856658935546875000e+01,-1.001739501953125000e+01
1.405783176422119141e+00,-4.553771495819091797e+00,-4.836287498474121094e+00,1.843535304069519043e+00,2.499923706054687500e+02,-3.856658935546875000e+01,-1.855468750000000000e+01
1.420651912689208984e+00,-4.764461517333984375e+00,-5.762843608856201172e+00,2.889801502227783203e+00,2.366333007812500000e+02,-3.495025634765625000e+01,-3.652191162109375000e+01
1.433137416839599609e+00,-4.553771495819091797e+00,-7.067683219909667969e+00,2.889801502227783203e+00,1.982803344726562500e+02,-7.934570312500000000e-01,-4.457855224609375000e+01
1.447707891464233398e+00,-4.458003520965576172e+00,-7.644685745239257812e+00,1.072602391242980957e+00,1.847763061523437216e+02,-7.934570312500000000e-01,-4.457855224609375000e+01
1.459385871887207031e+00,-1.800439596176147683e+00,-9.220070838928224433e+00,-1.154005169868469238e+00,1.847763061523437216e+02,-1.617431640625000000e+00,-4.393005371093750000e+01
1.474367380142211914e+00,-1.800439596176147683e+00,-9.220070838928224433e+00,-1.154005169868469238e+00,2.108230590820312500e+02,-4.013061523437500000e+00,-2.201843261718750000e+01
1.489573001861572266e+00,-5.394136428833007812e+00,-7.498639583587646484e+00,-9.265560507774351917e-01,2.256698608398437216e+02,-1.103210449218750000e+01,-2.201843261718750000e+01
1.501204013824462891e+00,-5.394136428833007812e+00,-7.433996200561523438e+00,-4.165910780429840088e-01,2.301712036132812500e+02,-1.103210449218750000e+01,-4.537200927734375000e+01
