# elapsed time, force_x, force_y, force_z, torque_x, torque_y, torque_z
7.053788900375366211e+00,-4.528082191425900419e-03,3.075026706433164669e+00,-3.310480577715395167e+00,-1.488725132129035955e-01,5.471344414107999574e-04,1.253100259642677961e-01
7.055940866470336914e+00,-8.236139847900900493e-03,3.075026706433164669e+00,-3.303820240005430176e+00,-1.488725132129035955e-01,6.577263861199000210e-04,1.252777482241924090e-01
7.057686328887939453e+00,-8.236139847900900493e-03,3.075026706433164669e+00,-3.303820240005430176e+00,-1.488725132129035955e-01,6.577263861199000210e-04,1.253100259642677961e-01
7.060115575790405273e+00,-9.395118935735000815e-03,3.072932502060850446e+00,-3.303820240005430176e+00,-1.494765142097962130e-01,6.577263861199000210e-04,1.253602711420994942e-01
7.061834335327148438e+00,-9.395118935735000815e-03,3.072932502060850446e+00,-3.307654971912660891e+00,-1.491870551335384987e-01,6.577263861199000210e-04,1.253602711420994942e-01
7.064116477966308594e+00,-2.875992636210730063e-02,3.062640429584809088e+00,-3.307654971912660891e+00,-1.494765142097962130e-01,9.563920290735000371e-04,1.253602711420994942e-01
7.065843105316162109e+00,-2.875992636210730063e-02,3.062640429584809088e+00,-3.307654971912660891e+00,-1.491870551335384987e-01,7.506800226637000070e-04,1.253100259642677961e-01
7.068069219589233398e+00,-3.938741176687499818e-02,3.062640429584809088e+00,-3.307654971912660891e+00,-1.490152804271379083e-01,9.563920290735000371e-04,1.252777482241924090e-01
7.069819450378417969e+00,-2.875992636210730063e-02,3.051640083935657000e+00,-3.307654971912660891e+00,-1.491870551335384987e-01,7.506800226637000070e-04,1.252777482241924090e-01
7.071543693542480469e+00,-2.875992636210730063e-02,3.062088660719603173e+00,-3.322509912967392509e+00,-1.490152804271379083e-01,6.577263861199000210e-04,1.252777482241924090e-01
7.073794126510620117e+00,-2.875992636210730063e-02,3.051640083935657000e+00,-3.322509912967392509e+00,-1.491870551335384987e-01,6.577263861199000210e-04,1.253100259642677961e-01
7.075534105300903320e+00,-3.938741176687499818e-02,3.043129417175765017e+00,-3.329166457714612726e+00,-1.491870551335384987e-01,6.577263861199000210e-04,1.253100259642677961e-01
7.077813625335693359e+00,-3.938741176687499818e-02,3.029643957459442483e+00,-3.329166457714612726e+00,-1.491870551335384987e-01,-3.445584351081248942e-05,1.252327818092738021e-01
7.079531669616699219e+00,-3.938741176687499818e-02,3.026855954506743718e+00,-3.322509912967392509e+00,-1.491870551335384987e-01,-3.445584351081248942e-05,1.252127152548040967e-01
7.081835508346557617e+00,-1.759793700254359827e-02,3.029643957459442483e+00,-3.329166457714612726e+00,-1.491870551335384987e-01,-3.735775980800000126e-04,1.252127152548040967e-01
7.083652019500732422e+00,-1.365091998302759950e-02,3.025857765281554368e+00,-3.329166457714612726e+00,-1.491870551335384987e-01,-6.218567576585999797e-04,1.252127152548040967e-01
7.085813522338867188e+00,-1.365091998302759950e-02,3.024318078801336185e+00,-3.329451348670749322e+00,-1.494765142097962130e-01,-1.074237789270899961e-03,1.246378920443475952e-01
7.087568998336791992e+00,-9.387277385725999830e-04,3.020055977823759452e+00,-3.335785869745071963e+00,-1.494765142097962130e-01,-1.211118999261999929e-03,1.252127152548040967e-01
7.089801073074340820e+00,-9.387277385725999830e-04,3.018340607340786796e+00,-3.335785869745071963e+00,-1.495256254719823097e-01,-1.211118999261999929e-03,1.252127152548040967e-01
7.091560125350952148e+00,-9.387277385725999830e-04,3.018340607340786796e+00,-3.338798810466157008e+00,-1.495256254719823097e-01,-1.211118999261999929e-03,1.248980147929471957e-01
7.093826532363891602e+00,-9.387277385725999830e-04,3.020055977823759452e+00,-3.349481853809814336e+00,-1.495256254719823097e-01,-1.074237789270899961e-03,1.248980147929471957e-01
7.096034765243530273e+00,6.074179337269600132e-03,3.020055977823759452e+00,-3.359450785521665317e+00,-1.495256254719823097e-01,-1.074237789270899961e-03,1.248980147929471957e-01
7.097769975662231445e+00,1.247254860364220043e-02,3.018340607340786796e+00,-3.373019875514073895e+00,-1.495256254719823097e-01,-1.211118999261999929e-03,1.248980147929471957e-01
7.099693536758422852e+00,6.074179337269600132e-03,3.018340607340786796e+00,-3.365044179976057759e+00,-1.495256254719823097e-01,-1.999899258084099959e-03,1.248980147929471957e-01
7.101896762847900391e+00,1.247254860364220043e-02,3.024318078801336185e+00,-3.366996583725404779e+00,-1.495256254719823097e-01,-1.999899258084099959e-03,1.248530122711457996e-01
7.103581190109252930e+00,6.074179337269600132e-03,3.018340607340786796e+00,-3.373019875514073895e+00,-1.496315583633646973e-01,-1.211118999261999929e-03,1.246378920443475952e-01
7.105926752090454102e+00,1.247254860364220043e-02,3.018084502626338317e+00,-3.401565003785373076e+00,-1.496315583633646973e-01,-1.211118999261999929e-03,1.248530122711457996e-01
7.107626914978027344e+00,2.320159605874920136e-02,3.018084502626338317e+00,-3.413011665897702773e+00,-1.496315583633646973e-01,-1.999899258084099959e-03,1.248530122711457996e-01
7.109877109527587891e+00,2.684397832464099909e-02,3.001173550343135155e+00,-3.401565003785373076e+00,-1.501135905710646035e-01,-2.094072954408299995e-03,1.248980147929471957e-01
7.111607074737548828e+00,3.054195892489700026e-02,3.001173550343135155e+00,-3.373019875514073895e+00,-1.501135905710646035e-01,-2.306046196947699866e-03,1.248530122711457996e-01
7.113876342773437500e+00,2.684397832464099909e-02,3.001173550343135155e+00,-3.373019875514073895e+00,-1.501135905710646035e-01,-2.306046196947699866e-03,1.248530122711457996e-01
7.115620136260986328e+00,2.684397832464099909e-02,3.018084502626338317e+00,-3.370367308571722287e+00,-1.501135905710646035e-01,-2.306046196947699866e-03,1.248530122711457996e-01
7.117992639541625977e+00,2.684397832464099909e-02,3.023877846286511240e+00,-3.366996583725404779e+00,-1.496315583633646973e-01,-1.234834757466600052e-03,1.248530122711457996e-01
7.119680404663085938e+00,2.320159605874920136e-02,3.023877846286511240e+00,-3.366996583725404779e+00,-1.496315583633646973e-01,-1.074237789270899961e-03,1.248530122711457996e-01
7.121935129165649414e+00,2.684397832464099909e-02,3.023877846286511240e+00,-3.366996583725404779e+00,-1.501135905710646035e-01,-1.074237789270899961e-03,1.246568879124936025e-01
7.123639106750488281e+00,2.684397832464099909e-02,3.023877846286511240e+00,-3.370367308571722287e+00,-1.501135905710646035e-01,-1.234834757466600052e-03,1.246568879124936025e-01
7.125881433486938477e+00,2.684397832464099909e-02,3.018084502626338317e+00,-3.373019875514073895e+00,-1.504027479973518988e-01,-1.234834757466600052e-03,1.246568879124936025e-01
7.127618312835693359e+00,2.684397832464099909e-02,3.023877846286511240e+00,-3.413011665897702773e+00,-1.501135905710646035e-01,-9.600510502049999480e-04,1.246568879124936025e-01
7.129856109619140625e+00,2.320159605874920136e-02,3.023877846286511240e+00,-3.373019875514073895e+00,-1.501135905710646035e-01,-9.555953544449999901e-04,1.246568879124936025e-01
7.131715059280395508e+00,2.263295518592900110e-02,3.023877846286511240e+00,-3.373019875514073895e+00,-1.499877407702182031e-01,-9.600510502049999480e-04,1.246568879124936025e-01
7.133907556533813477e+00,2.320159605874920136e-02,3.024529629523072138e+00,-3.413011665897702773e+00,-1.499877407702182031e-01,-1.234834757466600052e-03,1.246568879124936025e-01
7.135651826858520508e+00,2.263295518592900110e-02,3.024529629523072138e+00,-3.419210619728436207e+00,-1.499877407702182031e-01,-1.509124494814500063e-03,1.237853595510357979e-01
7.137900114059448242e+00,2.263295518592900110e-02,3.023877846286511240e+00,-3.419210619728436207e+00,-1.501135905710646035e-01,-1.509124494814500063e-03,1.234704975059059961e-01
7.139577388763427734e+00,9.670132733089500249e-03,3.023877846286511240e+00,-3.386571784564258891e+00,-1.499877407702182031e-01,-1.234834757466600052e-03,1.234704975059059961e-01
7.141870737075805664e+00,9.670132733089500249e-03,2.997561217298540193e+00,-3.406863649725532017e+00,-1.501135905710646035e-01,-1.234834757466600052e-03,1.234704975059059961e-01
7.143629074096679688e+00,9.670132733089500249e-03,2.997561217298540193e+00,-3.419210619728436207e+00,-1.499877407702182031e-01,-1.234834757466600052e-03,1.237853595510357979e-01
